,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
time series models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,7,0,4,5,11,8,46
language processing nlp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,15,9,46
credit default swaps,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,8,3,6,0,6,0,0,4,4,0,0,0,4,3,46
optimal trading strategy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,6,5,5,6,3,3,6,45
multivariate time series,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,6,7,14,4,5,45
graph neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,20,8,45
indian stock market,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,13,8,7,7,45
york stock exchange,0,0,4,0,0,0,0,3,3,9,0,3,0,3,0,0,0,3,5,0,4,3,0,0,0,0,0,4,0,44
generative artificial intelligence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,19,44
spectrally negative levy,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,6,0,12,5,0,0,0,0,0,44
underlying asset price,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,6,3,7,0,11,6,0,44
central limit theorem,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,5,3,3,4,5,0,6,0,4,0,3,0,44
stochastic interest rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,6,5,0,5,0,5,0,5,44
high frequency trading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,0,0,5,0,0,6,4,0,5,7,0,44
foreign exchange market,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,4,0,3,3,0,0,0,5,0,6,0,3,6,3,44
environmental social governance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,13,21,43
deep learning approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,7,3,7,11,43
maximum likelihood estimation,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,5,0,0,8,0,0,5,0,0,10,6,43
artificial neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,7,8,0,8,0,43
deep learning methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,9,3,8,3,43
counterparty credit risk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,13,5,5,0,0,0,0,3,0,4,0,42
experimental results show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,8,6,7,5,42
forwardbackward stochastic differential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,9,8,0,0,0,7,10,42
neural network model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,5,12,5,41
paper propose new,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,0,5,6,5,9,4,0,0,41
central bank digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,14,9,41
support vector machine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3,3,5,3,7,0,41
paper introduces novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,12,40
stock market index,0,0,0,0,0,0,6,0,0,6,0,0,0,3,0,0,0,0,0,3,4,0,4,0,3,6,0,5,0,40
differential equations bsdes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,4,4,4,6,4,40
play important role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,4,4,5,6,6,40
martingale optimal transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,6,0,10,0,8,6,0,39
exponential levy models,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,5,6,5,0,0,3,0,4,0,0,0,0,39
optimal trading strategies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,7,6,6,0,3,3,3,39
convolutional neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,9,0,4,9,0,39
reinforcement learning algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,3,0,10,5,6,39
results show proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,0,6,8,9,38
renewable energy sources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,5,16,38
sustainable development goals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,5,6,10,38
paper proposes new,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,5,3,8,5,5,3,38
multiagent reinforcement learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,11,17,38
machine learning algorithm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,4,7,9,0,38
constant function market,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,4,4,38
term structure models,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,5,0,0,4,11,3,0,0,0,0,3,37
stochastic partial differential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,4,0,0,8,0,0,5,3,3,6,37
stochastic portfolio theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,5,0,0,0,7,0,0,5,6,37
stock price movements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,10,9,6,37
market makers amms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,7,11,37
electricity price forecasting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,8,0,5,12,36
reinforcement learning approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,9,6,5,36
ordinary differential equations,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,3,4,5,0,3,5,0,6,36
valueatrisk expected shortfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,4,6,7,0,7,36
markov decision process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,3,6,11,36
plays important role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,5,7,6,0,4,0,35
hamiltonjacobibellman hjb equation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,5,0,0,3,4,11,35
best knowledge first,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,6,3,0,5,8,35
propose novel approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,3,10,9,3,35
mean square error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,6,12,7,35
pricing american options,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,0,0,0,0,5,4,15,35
automated market maker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,12,35
numerical experiments show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,0,4,0,7,9,35
paper presents novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,10,6,11,35
optimal transport problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,5,0,8,0,5,34
rough bergomi model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,0,6,7,0,0,4,34
neural network architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,6,6,5,6,34
learning deep learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,3,8,6,34
unified growth theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,34
var expected shortfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,6,5,6,8,33
interest rate model,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,4,6,0,3,3,5,33
transient price impact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,5,0,0,3,0,13,33
short term memory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,4,3,5,5,33
numerical results show,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,4,3,0,3,3,6,0,3,0,0,33
stock price data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,7,5,0,8,33
modern portfolio theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,4,0,9,33
machine learning model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,10,3,32
using monte carlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,0,0,3,0,4,5,7,0,32
social cost carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,8,8,32
expected utility maximization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,3,6,7,5,32
social governance esg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,32
price time series,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,3,0,0,4,0,3,0,8,0,0,0,32
different time scales,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,5,3,0,3,8,0,0,0,3,32
deep learning framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,8,10,32
paper proposes novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,15,8,32
mean field games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,0,6,0,0,32
interest rate models,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,5,0,4,4,3,0,0,0,0,0,0,0,0,5,32
unique viscosity solution,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,3,0,6,0,0,3,0,3,6,31
time series model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8,3,4,0,3,7,31
foreign direct investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,14,31
stock price forecasting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,10,6,31
greenhouse gas emissions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,7,12,31
european call option,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,3,4,0,3,0,3,0,4,0,0,30
optimal investment problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,4,0,0,5,10,0,30
financial market model,0,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,5,0,0,0,0,0,5,0,0,4,3,0,0,30
option pricing models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,5,0,0,3,7,30
capital asset pricing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,8,7,29
interest rate derivatives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,11,0,6,4,29
