,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
paper proposes,0,0,0,0,0,0,7,5,0,4,4,6,8,6,10,6,24,41,51,79,138,118,239,235,249,307,430,619,863,1201,1624,1885,2295,2750,3108,3564,19876
stateoftheart methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,9,10,44,44,101,182,312,511,888,1352,1799,2074,2262,2797,3346,3749,19489
computer vision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,9,24,35,40,76,133,225,334,511,747,1110,1384,1732,2206,2366,2768,3002,2502,19220
show proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,23,34,52,118,111,168,272,320,411,592,869,1297,1809,2270,2505,2550,2201,1723,1431,18771
experiments demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,10,23,33,42,69,89,163,254,434,680,956,1238,1556,2610,4364,6177,18710
demonstrate effectiveness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,13,31,55,84,105,122,205,293,468,729,1105,1439,1756,1881,3008,3764,3599,18671
widely used,0,0,0,0,0,0,0,0,0,3,4,4,4,7,7,5,16,18,33,47,84,119,174,202,285,307,399,573,844,1215,1638,1819,1982,2304,2629,3576,18298
work propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,30,35,51,84,108,161,273,478,740,1244,1761,2060,2345,2619,2763,3476,18254
propose new,0,0,0,0,0,3,0,4,4,0,9,10,8,8,7,31,29,37,52,84,121,183,227,274,344,446,583,820,1110,1566,1941,2013,2205,2301,2167,1612,18199
federated learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,98,461,1395,2145,2771,3325,3909,3756,17874
diffusion models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,4,6,6,20,23,100,699,3797,6155,6618,17440
recent years,0,0,0,0,0,0,0,0,0,0,0,6,5,8,8,5,19,16,14,30,62,93,136,156,195,257,370,511,840,1192,1582,1963,2228,2661,2793,2167,17317
however existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,10,16,33,32,46,61,126,205,340,541,776,1156,1460,2317,3538,6059,16728
wide range,0,0,0,0,0,4,0,3,6,0,6,5,7,13,7,13,16,23,23,53,75,79,169,174,203,274,339,531,696,957,1283,1494,1652,2277,2791,3236,16409
stateoftheart performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,29,54,96,228,316,561,925,1169,1448,1731,2247,2924,4431,16185
representation learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,66,160,287,483,874,1449,2014,2532,2574,2549,2818,15844
optimization problem,0,0,0,0,0,0,0,0,0,0,3,0,11,4,6,19,18,30,47,72,126,136,260,335,396,455,516,742,916,1195,1553,1512,1612,1666,1882,1970,15482
graph neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,117,613,1335,1876,2329,2865,3151,3052,15357
social media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,33,38,109,153,306,365,516,673,859,950,1580,1675,1531,1982,2311,2206,15300
lower bound,0,0,0,0,0,0,0,0,12,18,4,30,26,31,22,50,56,99,151,214,286,310,439,472,555,694,718,855,862,1066,1276,1218,1233,1392,1505,1611,15205
paper introduces,0,0,0,0,0,3,0,5,0,3,3,6,11,8,12,20,16,30,24,35,66,72,114,135,129,167,199,296,396,458,592,698,772,1739,4159,4643,14811
learning methods,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,4,8,22,26,57,70,70,136,224,383,695,1050,1535,1740,1997,2077,2250,2083,14439
language processing,0,0,0,0,18,29,18,25,7,8,18,6,8,6,0,4,0,6,8,11,14,33,49,73,103,137,224,349,509,777,1191,1515,1689,2414,2915,2217,14381
paper introduce,0,0,0,0,0,0,0,0,0,4,4,9,6,6,9,7,21,15,31,33,101,116,131,172,176,216,315,443,636,852,1031,1087,1100,1706,3079,2896,14202
anomaly detection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,27,19,31,33,64,94,157,184,406,655,1068,1324,1756,2118,2611,3345,13929
superior performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,11,28,26,40,46,106,157,217,373,531,784,917,1100,1974,3664,3901,13890
novel approach,0,0,0,0,0,0,3,0,0,0,0,3,5,0,3,3,12,13,11,23,43,58,119,105,146,199,284,387,545,713,852,908,916,1996,3618,2764,13729
outperforms stateoftheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,15,18,41,58,99,226,350,567,890,1178,1437,1511,1987,2171,3156,13713
semantic segmentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,21,97,208,331,745,1045,1361,1827,1950,2237,2129,1750,13712
effectiveness proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,15,43,40,69,109,153,199,312,457,637,988,1336,1476,1564,2102,2275,1901,13709
case study,0,0,0,0,4,0,3,0,0,0,5,11,4,5,12,6,14,26,27,46,104,107,140,224,277,208,333,405,606,765,1048,1344,1303,1720,2173,2708,13628
simulation results,0,0,0,0,0,0,0,0,10,0,3,0,8,0,14,29,24,59,103,114,226,236,354,418,463,501,643,736,845,926,1261,1219,1182,1221,1433,1561,13589
learning algorithms,0,0,0,0,3,5,4,5,6,0,6,3,6,4,9,5,0,3,17,24,37,64,146,150,145,233,322,532,802,1224,1690,1627,1666,1742,1768,1262,13510
generative models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,22,24,50,75,153,243,447,704,821,925,1177,2195,2949,3603,13406
learning framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,15,21,32,43,98,192,324,560,783,1163,1379,1591,1628,2094,3353,13285
data augmentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,40,69,155,450,737,1338,1639,2016,2118,2283,2013,12875
benchmark datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,33,29,65,114,173,346,493,828,1193,1403,1574,1869,2201,2500,12837
transfer learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,22,62,138,427,757,1103,1607,1677,1687,1773,1824,1690,12821
point cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,5,16,29,67,148,335,778,1154,1504,1829,2211,2414,2233,12740
proposed model,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,9,21,17,8,48,32,108,104,154,170,281,500,829,1158,1485,1629,1574,1641,1567,1335,12679
datasets demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,22,38,68,119,233,359,571,763,979,1176,1718,2728,3807,12603
future research,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,13,6,13,20,39,56,61,104,134,203,327,480,723,1003,1108,1847,2878,3421,12451
contrastive learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,486,1408,2403,2662,2845,2587,12421
source code,0,0,0,0,0,0,0,0,0,0,0,9,5,8,3,6,4,18,27,19,46,27,57,71,88,92,162,318,472,744,954,1318,1511,1902,2287,2255,12403
also show,0,0,0,0,0,3,0,4,4,6,9,7,17,19,20,25,40,54,82,100,161,214,290,309,377,402,530,629,770,1009,1249,1271,1246,1242,1207,1015,12311
numerical experiments,0,0,0,0,0,0,0,0,0,4,0,6,5,0,3,3,5,5,8,17,38,51,69,101,138,166,218,279,433,890,1196,1351,1427,1566,1868,2394,12241
computational complexity,0,0,0,0,0,0,0,0,5,0,13,9,16,15,23,29,30,34,48,114,155,152,245,295,365,387,446,505,634,774,962,1003,1116,1251,1683,1911,12220
state art,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,8,6,12,27,43,71,121,162,223,328,492,748,1054,1298,1556,1483,1226,1152,1016,1103,12136
introduce novel,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,6,5,11,31,38,44,72,56,105,179,274,350,554,672,787,879,1723,3331,3006,12136
across different,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,11,9,25,36,53,72,100,209,294,496,669,772,970,1550,3127,3694,12101
proposed framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,14,38,40,59,74,76,146,248,382,641,893,1145,1310,1339,1644,1834,2200,12100
existing approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,7,0,14,14,25,57,93,102,126,183,262,386,558,838,997,1092,1361,1893,4056,12077
image classification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,13,28,52,96,176,244,412,624,1011,1298,1481,1554,1667,1786,1582,12045
question answering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,20,26,107,207,324,499,796,942,1129,1210,1637,2226,2864,12003
achieves stateoftheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,26,45,122,179,336,573,759,951,1164,1576,2182,4048,11974
autonomous driving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,57,123,332,540,794,1101,1233,1825,2697,3219,11947
proposed algorithm,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,6,12,24,48,64,136,155,244,311,401,504,516,702,841,1054,1162,1338,1204,1164,1160,884,11943
demonstrate proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,29,24,46,52,83,129,217,337,574,770,1078,1226,1316,1653,1957,2326,11827
large number,0,0,0,0,0,4,0,4,5,0,5,9,5,14,17,18,28,39,48,48,84,122,162,258,304,400,454,646,819,1038,1289,1272,1272,1345,1150,950,11809
gradient descent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,42,92,97,216,320,488,859,1089,1370,1311,1313,1412,1583,1528,11772
loss function,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,15,13,30,35,60,119,173,361,662,1034,1270,1319,1349,1652,1810,1740,11654
synthetic data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,16,24,52,56,68,85,133,219,370,528,762,881,1090,1621,2555,3173,11652
address issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,5,9,17,27,36,47,55,71,135,191,266,460,654,823,1019,2049,2860,2666,11403
downstream tasks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,24,73,215,547,967,1516,2312,2959,2751,11380
address challenges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,17,33,36,47,73,134,200,342,409,446,1330,3061,5207,11356
lower bounds,0,0,0,0,0,0,0,0,6,14,9,10,15,32,16,44,52,64,132,163,190,249,312,424,414,516,610,643,629,773,960,902,856,977,1044,1210,11266
across various,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,8,12,21,34,44,78,155,218,321,1427,4763,4146,11239
domain adaptation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,12,21,35,80,147,327,534,876,1417,1646,1544,1613,1509,1411,11184
upper bound,0,0,0,0,0,3,0,0,0,4,5,12,13,11,16,48,66,90,132,192,208,288,308,337,419,467,502,510,571,712,873,835,972,1078,1153,1159,10984
differential equations,0,0,0,0,0,0,0,0,9,11,11,9,13,14,11,12,19,15,20,22,43,89,89,83,84,96,137,226,293,690,1016,1199,1340,1529,1904,1934,10918
across multiple,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,6,9,16,21,37,39,67,71,122,237,315,388,518,539,969,2380,5118,10864
present novel,0,0,0,0,0,0,0,0,0,0,0,7,0,4,10,5,8,0,18,35,40,76,103,110,147,195,315,431,661,828,1080,1106,1108,1435,1562,1260,10544
real world,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,6,5,17,17,27,55,85,126,177,219,224,314,465,634,806,1025,1089,1204,1305,1310,1294,10417
generative adversarial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,113,642,1135,1450,1490,1491,1272,1087,940,777,10411
latent space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,20,21,43,136,359,601,917,1140,1270,1541,1793,2503,10357
recent advances,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,9,5,20,22,31,63,91,92,157,278,389,531,752,813,944,1218,1534,3389,10354
numerical results,0,0,0,0,0,0,0,0,0,0,7,7,0,4,0,11,16,21,46,49,84,102,155,212,291,327,425,451,587,860,1026,1114,1087,1159,1196,1053,10290
deep reinforcement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,121,333,695,983,1237,1352,1324,1352,1433,1416,10275
outperforms existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,14,12,33,34,46,80,107,207,275,387,590,665,847,1359,2120,3401,10188
improve performance,0,0,0,0,4,0,0,3,4,0,0,0,0,0,3,0,4,13,16,22,41,65,72,98,110,153,218,338,524,770,988,1209,1350,1453,1415,1250,10123
novel framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,15,29,25,40,52,88,145,214,313,459,532,628,1091,2261,4133,10041
computational cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,12,9,20,36,70,101,119,142,166,275,417,641,845,1040,1095,1188,1375,2357,9924
data sets,0,0,0,0,0,0,0,0,0,7,7,5,9,11,9,10,18,18,34,59,107,131,231,232,319,380,504,511,748,997,1223,1153,1060,1001,716,403,9903
learning model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,24,20,36,55,117,213,439,683,1107,1228,1396,1521,1647,1385,9888
ground truth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,36,40,79,222,348,506,767,955,1032,1135,1346,1591,1706,9800
previous work,0,0,0,0,5,0,7,0,0,0,9,15,12,9,5,12,26,33,46,56,92,117,164,202,221,235,360,453,603,720,908,998,1063,1160,1259,1005,9795
significantly outperforms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,14,31,31,73,104,164,247,378,533,678,801,1001,1070,1726,2862,9736
foundation models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,153,1302,3105,5142,9732
monte carlo,0,0,0,0,0,0,0,0,9,0,5,0,5,16,10,12,15,25,30,37,59,75,131,153,156,226,243,321,550,748,893,914,974,1106,1318,1699,9730
models trained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,6,10,43,74,164,283,451,776,1013,1137,1596,1978,2183,9724
pose estimation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,20,50,107,233,329,513,755,889,969,1314,1348,1464,1703,9704
results indicate,0,0,0,0,3,0,5,0,3,0,3,0,3,3,9,10,9,18,19,25,38,45,74,121,105,151,199,286,413,549,716,819,777,1238,1967,2045,9653
across diverse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,14,16,54,59,101,131,722,2389,6147,9646
best knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,8,17,22,48,59,88,123,158,161,247,343,519,760,951,1051,1177,1306,1283,1288,9616
model performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,9,10,19,31,61,120,268,483,704,932,1371,2521,2952,9495
medical image,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,14,0,12,27,22,30,64,132,262,456,646,847,1135,1732,2046,2033,9467
speech recognition,0,0,0,0,10,4,23,7,3,0,11,3,10,9,4,4,3,14,4,5,24,0,27,71,59,131,250,401,555,727,1006,1181,1257,1277,1218,1152,9450
learning approach,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,5,10,13,20,39,47,102,143,318,589,793,1105,1081,1126,1263,1433,1348,9443
method achieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,19,17,43,64,107,171,310,488,688,807,1074,1347,1633,2641,9433
introduce new,0,0,0,0,0,0,0,0,4,4,3,11,11,4,11,12,12,23,28,42,77,110,147,160,174,222,312,372,506,657,820,850,903,1114,1428,1373,9390
address problem,0,0,0,0,0,0,4,0,3,0,0,5,4,4,6,10,13,21,19,39,48,60,116,117,168,201,272,470,607,796,964,1042,1095,1177,1081,1043,9385
learning techniques,0,0,0,0,0,0,3,7,0,0,5,3,0,3,7,0,0,0,0,7,6,16,42,55,55,81,141,314,485,781,1047,1100,1015,1362,1644,1151,9330
diffusion model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,9,7,19,18,16,26,35,50,345,2135,3340,3297,9316
image segmentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,7,9,14,39,13,52,55,87,164,195,234,356,579,653,866,1011,1631,1711,1608,9300
point clouds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,28,13,38,48,163,333,599,869,971,1332,1530,1606,1756,9298
optimization problems,0,0,0,0,0,0,0,0,3,0,0,10,11,12,7,13,13,24,43,57,107,139,154,207,238,294,278,363,525,677,813,920,992,1011,1188,1170,9269
finite element,0,0,0,0,0,0,0,0,0,8,0,0,0,7,13,0,5,19,27,13,12,48,36,44,57,98,108,175,259,805,1090,1143,1128,1180,1409,1563,9247
commonly used,0,0,0,0,0,0,0,0,4,0,4,0,0,6,4,9,12,8,22,23,46,71,101,114,140,157,229,296,468,673,865,968,1050,1273,1451,1227,9221
show method,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,6,4,8,17,30,61,54,77,126,200,252,460,672,864,1084,1258,1328,1235,1440,9186
machine translation,0,0,0,0,22,19,29,5,4,8,5,0,0,6,5,0,0,0,0,21,0,16,13,52,103,157,343,564,741,1000,1111,1043,915,1086,1104,785,9157
realworld applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,12,31,30,39,57,83,155,255,393,561,716,931,1321,2084,2423,9109
compared stateoftheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,26,20,40,97,125,247,385,612,769,941,1059,1324,1627,1777,9061
feature extraction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,47,30,59,80,81,105,192,281,391,538,718,805,926,1032,1663,2083,9058
energy consumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,18,41,50,93,139,197,229,268,336,312,445,528,657,763,873,1057,1363,1650,9039
realworld datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,28,25,46,67,142,181,298,536,745,873,1044,1303,1706,1998,9005
prior work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,12,31,35,66,56,90,117,174,252,341,500,745,851,993,1135,1240,2317,8976
paper study,0,0,0,0,0,0,0,0,3,7,5,6,3,8,11,16,21,46,56,80,126,170,244,259,294,361,409,469,597,751,908,891,851,855,743,597,8787
recurrent neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,3,14,32,65,239,608,893,1050,1125,1035,913,710,626,688,599,8616
method based,0,0,0,0,0,0,6,0,0,3,5,0,6,8,7,13,13,32,32,40,64,72,116,129,176,182,231,344,464,739,877,843,1002,1029,1104,1032,8569
adversarial attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,82,305,640,1022,1089,1079,1319,1551,1426,8526
compared existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,8,28,26,66,76,105,111,140,232,313,409,633,675,834,1145,1657,1887,8364
experiments conducted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,22,18,51,36,54,92,113,180,323,474,705,808,880,1214,1792,1561,8339
work present,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,6,6,12,11,26,30,46,68,72,82,186,249,378,564,799,842,954,1058,1118,1734,8256
model trained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,6,14,34,93,196,336,544,825,851,1073,1222,1431,1568,8203
novel method,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,3,0,9,7,13,27,41,48,73,77,103,176,252,351,465,606,695,748,1120,1739,1434,7999
datasets show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,6,32,39,44,86,158,238,414,590,816,933,1063,1113,1091,1345,7982
performance compared,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,6,9,20,32,42,48,51,91,116,207,275,431,599,671,782,1161,1668,1746,7964
computational efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,9,12,23,49,62,70,87,135,175,301,388,454,505,865,1691,3100,7935
challenging task,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,27,37,53,76,78,164,280,427,617,813,918,959,1144,1192,1052,7881
