Kelime,2020,2021,2022,2023,2024,2025,Total
additional,3,8,5,6,8,10,40
electricity,12,8,7,4,8,1,40
observed,7,8,8,5,9,3,40
capital,5,3,2,19,5,5,39
education,3,21,5,9,0,1,39
group,13,9,5,4,1,7,39
main,4,8,12,5,6,4,39
food,9,2,10,10,2,6,39
traditional,3,7,8,6,10,5,39
accuracy,2,6,2,10,12,7,39
significantly,6,8,6,7,9,3,39
complex,5,4,5,5,11,9,39
understanding,5,5,5,12,6,5,38
transformation,1,9,12,2,13,1,38
users,0,4,12,13,3,6,38
relative,6,5,6,6,8,7,38
labor,9,7,3,1,10,8,38
current,8,1,3,8,11,7,38
possible,10,6,5,6,9,1,37
nonlinear,11,3,9,5,3,6,37
regions,5,4,9,8,7,4,37
decisions,4,4,10,9,3,7,37
processes,5,8,8,9,3,4,37
government,8,7,9,4,1,8,37
robustness,2,15,3,0,5,12,37
agent,3,9,7,8,3,7,37
green,5,1,7,20,3,1,37
simulations,6,2,10,8,4,6,36
instrumental,7,9,10,4,0,6,36
principal,3,5,11,6,4,7,36
less,6,5,6,11,7,1,36
consistent,6,6,4,5,6,9,36
urban,1,5,8,5,9,8,36
strong,5,3,9,7,7,5,36
alternative,7,6,4,6,8,5,36
characteristics,2,7,6,3,11,7,36
stability,5,12,6,3,0,10,36
characterize,5,8,3,7,5,8,36
wealth,9,6,8,2,10,1,36
household,5,19,2,2,0,8,36
productivity,11,1,1,12,5,6,36
cases,9,8,4,7,3,4,35
increasing,4,10,6,5,6,4,35
construct,13,3,8,3,5,3,35
prove,6,6,6,5,7,5,35
via,8,6,3,5,4,9,35
patterns,2,4,6,2,11,10,35
consumer,8,3,4,9,7,4,35
survey,5,11,8,3,6,2,35
values,2,5,5,4,15,4,35
simulation,5,8,10,5,4,3,35
addition,4,10,9,8,3,1,35
likelihood,7,3,4,8,10,3,35
rule,7,2,2,3,13,7,34
techniques,8,3,2,4,12,5,34
finite,6,4,6,5,3,10,34
allocation,1,2,1,9,17,4,34
natural,1,2,5,11,8,7,34
particular,8,4,7,8,6,1,34
sector,5,6,7,6,9,1,34
knowledge,3,4,7,9,8,3,34
researchers,4,1,4,9,4,12,34
compared,3,4,7,11,8,1,34
sufficient,8,5,10,2,4,5,34
private,0,16,1,3,6,7,33
setting,7,3,6,10,2,5,33
parameter,4,2,7,6,5,9,33
reveals,3,4,3,5,8,10,33
synthetic,5,3,1,7,0,17,33
best,8,4,4,8,7,2,33
business,14,1,2,9,7,0,33
pandemic,4,5,6,8,8,2,33
response,6,2,4,7,7,7,33
temporal,10,4,8,1,5,4,32
volatility,5,16,5,1,1,4,32
differences,4,6,10,1,7,4,32
incentives,1,2,10,8,7,4,32
production,3,6,8,7,2,6,32
settings,3,3,5,5,5,11,32
adoption,3,9,2,6,3,9,32
associated,7,7,5,8,4,1,32
bayesian,7,6,5,2,3,9,32
certain,6,4,7,4,8,2,31
limited,2,6,4,8,5,6,31
illustrate,7,3,4,3,9,5,31
artificial,3,0,11,4,10,3,31
students,0,3,15,9,0,4,31
beliefs,6,11,2,1,2,9,31
mean,6,5,6,7,1,6,31
predictive,7,1,11,1,5,6,31
evaluate,3,1,5,8,8,6,31
companies,2,7,2,9,10,1,31
practical,1,4,2,12,7,5,31
accounting,3,3,4,7,9,5,31
objective,3,4,7,4,9,4,31
impacts,3,3,7,5,10,3,31
highlight,3,4,3,3,10,8,31
importance,7,5,4,8,4,3,31
total,4,3,4,9,5,5,30
examines,2,6,5,4,12,1,30
support,6,2,4,10,5,3,30
prediction,9,9,3,1,7,1,30
likely,11,4,3,6,5,1,30
chain,0,1,10,3,9,7,30
made,5,10,8,4,0,3,30
example,8,9,3,3,1,6,30
open,5,1,0,11,3,10,30
previous,2,4,6,5,4,9,30
analyzing,5,5,2,5,7,6,30
specific,4,4,2,11,6,3,30
hypothesis,8,2,1,3,6,10,30
least,5,4,5,8,3,5,30
share,6,8,4,4,4,4,30
science,1,2,4,13,3,7,30
known,6,1,7,6,6,4,30
past,2,5,5,6,10,2,30
forecasts,9,5,0,8,7,1,30
product,10,2,2,6,9,1,30
increases,8,0,4,4,6,8,30
capacity,3,3,6,1,10,6,29
maximum,5,1,4,4,12,3,29
methodology,2,8,7,6,4,2,29
challenges,0,4,3,5,9,8,29
investigates,1,3,5,8,8,4,29
bound,4,3,3,6,10,3,29
particularly,4,3,9,8,3,2,29
terms,7,5,8,8,1,0,29
workers,7,1,0,3,6,12,29
intelligence,4,0,8,4,9,4,29
per,6,5,2,8,7,1,29
form,6,6,1,6,5,5,29
functional,2,6,6,2,2,11,29
insights,5,3,1,8,6,6,29
assess,9,0,4,9,6,1,29
article,3,6,8,3,6,3,29
effective,5,2,4,5,9,3,28
component,3,2,9,8,5,1,28
groups,4,4,6,3,2,9,28
services,9,2,1,7,2,7,28
llms,0,0,0,9,14,5,28
longterm,6,8,3,7,2,2,28
type,4,6,5,3,1,9,28
national,14,6,4,1,1,2,28
participants,9,5,4,2,3,5,28
complexity,1,5,17,0,3,2,28
climate,9,4,4,9,1,1,28
infrastructure,1,6,0,3,10,8,28
institutions,3,8,4,7,2,4,28
improve,1,5,7,2,7,6,28
increased,7,12,1,2,2,4,28
gdp,5,6,1,11,3,2,28
field,0,5,2,5,11,5,28
direct,2,1,7,10,1,7,28
like,4,3,3,7,4,7,28
units,3,7,4,5,3,6,28
central,1,3,4,3,4,13,28
reduce,3,7,7,5,3,3,28
since,4,4,6,7,5,2,28
discrete,4,2,8,0,2,11,27
continuous,1,6,5,1,3,11,27
condition,3,5,4,2,8,5,27
components,3,4,8,3,7,2,27
highly,8,3,6,3,4,3,27
unique,3,6,6,3,5,4,27
space,5,4,6,1,9,2,27
considered,6,5,4,3,2,7,27
therefore,3,3,4,12,2,3,27
assets,2,1,1,8,11,4,27
macroeconomic,5,8,2,1,3,8,27
budget,0,5,6,5,7,4,27
partial,2,6,11,6,2,0,27
rather,1,2,4,4,6,10,27
larger,6,1,4,4,7,5,27
term,2,3,6,4,5,7,27
designs,0,8,3,3,2,11,27
loss,2,4,4,7,3,7,27
sampling,1,1,16,3,4,2,27
lead,10,5,2,4,3,3,27
monetary,4,6,2,5,4,6,27
optimization,4,3,1,6,6,7,27
allow,7,8,3,2,2,4,26
common,3,3,2,4,5,9,26
job,1,1,0,12,2,10,26
goods,4,4,4,7,5,2,26
tax,0,7,4,8,2,5,26
people,10,3,3,4,4,2,26
procedure,6,6,5,1,3,5,26
specifically,4,5,3,5,8,1,26
restrictions,3,10,4,1,6,2,26
measure,5,5,4,4,4,4,26
better,2,5,7,7,2,3,26
external,8,3,2,1,6,6,26
critical,4,1,3,4,6,8,26
benefits,0,9,3,6,7,1,26
sectors,3,3,5,10,2,3,26
mathematical,5,1,3,3,1,13,26
flexible,0,4,10,5,3,4,26
scientific,0,7,3,11,5,0,26
interventions,3,3,4,11,1,4,26
participation,0,8,1,9,2,5,25
resources,5,4,4,6,5,1,25
rational,2,2,5,1,4,11,25
observations,2,6,3,5,6,3,25
interactions,3,7,2,5,4,4,25
united,8,1,1,1,12,2,25
substantial,2,3,4,7,3,6,25
structures,2,0,5,4,6,8,25
leads,7,5,6,2,4,1,25
datadriven,2,1,6,1,14,1,25
platforms,0,1,1,6,8,9,25
cities,8,3,2,0,5,7,25
representation,4,3,6,4,0,8,25
scale,3,5,5,3,4,5,25
customer,1,1,2,7,9,5,25
uses,4,6,2,5,4,4,25
equilibria,0,6,0,1,4,14,25
actions,7,11,0,2,5,0,25
evaluation,3,1,5,6,5,5,25
sustainable,1,1,10,6,4,3,25
leading,3,2,3,5,10,2,25
periods,3,4,4,1,5,8,25
developed,2,3,8,6,4,2,25
offers,2,2,2,4,4,11,25
must,2,3,5,4,7,4,25
integration,4,0,4,7,7,3,25
zero,0,1,3,6,8,7,25
exhibit,1,2,2,7,8,5,25
concept,4,4,4,5,4,4,25
marketing,0,0,11,12,2,0,25
riesz,3,0,1,0,0,21,25
alternatives,2,2,3,11,4,3,25
trends,4,1,3,3,6,8,25
experimental,3,3,1,10,1,7,25
would,5,2,7,1,6,3,24
limitations,1,1,3,2,11,6,24
intervention,0,3,1,6,10,4,24
options,8,1,7,2,3,3,24
investment,0,1,6,5,8,4,24
transition,4,2,9,0,7,2,24
fixed,2,6,8,2,2,4,24
decisionmaking,1,3,0,12,6,2,24
gender,6,0,7,1,9,1,24
comparison,5,7,2,3,6,1,24
despite,1,3,4,5,4,7,24
overall,3,4,2,4,7,4,24
diffusion,1,2,5,0,10,6,24
bootstrap,4,2,3,0,14,1,24
scores,8,1,5,3,4,3,24
shocks,4,3,1,3,6,7,24
allowing,1,6,2,4,8,3,24
theorem,0,5,11,7,1,0,24
presence,5,3,3,8,2,3,24
family,1,4,9,8,1,1,24
portfolios,0,4,7,5,8,0,24
implementation,5,4,4,3,5,3,24
yields,2,2,0,2,6,12,24
access,1,3,0,8,9,3,24
major,3,3,5,8,3,2,24
sensitivity,5,5,1,5,2,6,24
language,2,1,3,2,14,2,24
asymptotically,4,3,5,5,2,5,24
directly,4,2,5,4,5,3,23
numerical,2,6,5,3,2,5,23
improved,1,7,3,2,6,4,23
solution,1,5,3,3,6,5,23
european,2,4,4,2,3,8,23
question,4,6,5,2,1,5,23
school,5,6,6,1,0,5,23
effectiveness,6,1,1,4,3,8,23
density,4,8,2,2,1,6,23
independent,4,0,7,3,3,6,23
classical,1,6,1,3,6,6,23
interaction,2,1,3,1,5,11,23
gap,1,4,6,7,1,4,23
always,4,7,1,4,1,6,23
review,2,4,4,5,5,3,23
engagement,0,3,4,8,6,2,23
nested,0,13,6,3,0,1,23
play,7,1,2,6,2,5,23
contrast,3,2,3,4,5,6,23
forecast,2,3,1,14,1,2,23
reveal,1,3,0,7,7,5,23
players,8,3,4,4,0,4,23
assignment,8,3,7,2,0,3,23
trade,7,0,5,0,4,7,23
empirically,3,6,6,1,4,3,23
single,4,5,1,1,7,5,23
uniform,5,9,1,1,6,1,23
characterization,2,5,3,6,3,4,23
predictions,4,4,2,3,6,4,23
tasks,7,0,2,1,5,7,22
delivery,0,1,16,1,0,4,22
training,0,1,1,7,4,9,22
world,4,3,3,6,5,1,22
reduction,4,3,7,3,3,2,22
related,5,7,3,5,1,1,22
investments,1,0,8,5,8,0,22
errors,3,1,8,8,0,2,22
explore,3,6,2,4,4,3,22
chinese,4,3,10,4,0,1,22
scenarios,1,4,1,3,9,4,22
quantile,7,6,4,0,0,5,22
covariate,2,6,2,1,3,8,22
defined,1,0,7,4,4,6,22
endogenous,2,4,2,9,2,3,22
systemic,1,0,0,11,2,8,22
female,0,5,8,0,9,0,22
protocol,7,4,6,2,1,2,22
increasingly,1,3,2,2,8,6,22
employment,3,5,4,2,2,6,22
following,2,6,2,5,4,3,22
products,2,2,1,10,4,3,22
called,5,2,5,3,4,3,22
signals,3,5,3,1,5,5,22
responses,1,0,5,4,4,8,22
building,2,3,1,3,8,5,22
largescale,0,7,6,1,4,4,22
weak,6,0,4,3,6,3,22
similar,7,2,6,4,2,1,22
resulting,3,1,4,2,7,5,22
evolution,5,0,2,4,5,6,22
necessary,4,3,5,2,5,3,22
property,3,4,1,4,8,2,22
socioeconomic,6,1,6,5,3,1,22
depends,3,5,2,3,1,8,22
much,3,4,5,2,3,5,22
dependence,4,4,4,2,4,4,22
cultural,3,6,10,2,0,1,22
core,1,9,1,1,0,10,22
sustainability,2,1,8,4,3,4,22
counterfactual,4,3,5,3,2,4,21
leverage,1,4,4,3,7,2,21
reasoning,4,0,0,4,11,2,21
contracts,2,2,0,6,6,5,21
diverse,0,1,8,5,6,1,21
historical,2,7,1,6,4,1,21
times,0,7,6,0,2,6,21
semiparametric,1,8,9,1,0,2,21
relevant,3,3,7,3,5,0,21
capabilities,0,4,0,2,13,2,21
targeted,1,2,2,4,1,11,21
debiased,1,1,2,0,4,13,21
derived,1,5,3,3,7,2,21
equivalent,1,1,10,2,2,5,21
sets,5,1,1,0,7,7,21
actual,3,4,4,4,5,1,21
weights,5,1,6,1,3,5,21
underlying,5,2,6,0,2,6,21
generation,2,5,5,4,2,3,21
stage,4,1,4,6,0,6,21
achieve,3,5,3,3,5,2,21
minimum,12,4,2,1,1,1,21
attention,3,5,2,7,1,3,21
perceived,1,3,2,9,1,5,21
neural,3,5,2,7,3,1,21
either,4,5,3,2,5,2,21
prior,3,2,0,7,5,4,21
stock,5,6,2,2,6,0,21
risks,2,4,0,7,2,6,21
ability,2,2,2,6,2,7,21
moments,5,1,2,1,2,10,21
discuss,5,7,2,1,4,2,21
fundamental,1,6,3,4,3,4,21
monte,0,2,3,5,5,5,20
india,3,6,0,8,1,2,20
challenge,0,4,2,7,4,3,20
university,0,7,7,6,0,0,20
developing,5,1,7,3,0,4,20
focusing,2,1,0,6,7,4,20
status,4,0,6,0,8,2,20
generalized,1,5,2,5,2,5,20
become,4,1,4,3,4,4,20
whose,0,5,5,4,3,3,20
indicate,2,2,4,5,2,5,20
providing,6,2,0,4,4,4,20
affect,4,4,3,4,2,3,20
four,2,2,2,4,1,9,20
affected,3,8,0,6,2,1,20
vector,2,4,2,4,1,7,20
path,2,5,9,1,2,1,20
carlo,0,2,3,5,5,5,20
correlation,2,4,2,0,7,5,20
tool,1,3,1,4,3,8,20
mental,1,10,7,2,0,0,20
although,2,4,5,2,3,4,20
remain,1,3,0,5,6,5,20
variation,1,8,3,0,3,5,20
range,2,3,3,6,4,2,20
comprehensive,3,2,1,7,5,2,20
poverty,0,3,1,2,14,0,20
required,1,7,3,3,3,3,20
econometric,4,3,0,8,2,3,20
constant,5,2,3,5,3,2,20
output,3,2,3,5,3,4,20
incentive,5,3,7,2,1,2,20
driven,5,2,4,2,4,3,20
skills,0,0,1,7,5,7,20
approximation,1,4,4,1,7,3,20
binary,4,2,4,6,2,2,20
curve,1,7,7,3,0,2,20
observe,5,4,1,2,6,2,20
require,2,3,4,2,6,3,20
reduced,1,5,4,6,2,2,20
resource,4,3,7,3,1,2,20
scenario,3,1,3,3,8,1,19
year,6,1,3,4,5,0,19
extend,1,0,4,4,4,6,19
features,1,3,2,2,3,8,19
task,0,0,3,4,3,9,19
usage,3,1,0,9,3,3,19
nature,4,1,0,9,4,1,19
autoregressive,1,2,4,3,6,3,19
emission,0,3,2,4,10,0,19
conventional,5,1,4,2,2,5,19
computational,2,2,2,2,6,5,19
rapid,6,1,2,3,4,3,19
computationally,3,3,4,2,5,2,19
recovery,4,5,1,0,7,2,19
dependent,8,3,4,2,1,1,19
identifying,3,6,5,2,1,2,19
community,2,0,2,13,1,1,19
target,0,2,4,3,10,0,19
country,6,2,4,5,1,1,19
valuable,3,0,1,5,5,5,19
popular,4,6,1,2,2,4,19
moral,0,5,0,5,1,8,19
variance,3,2,5,4,0,5,19
statistics,1,4,1,5,3,5,19
leveraging,1,1,3,5,6,3,19
asset,2,3,2,4,6,2,19
light,2,4,2,7,3,1,19
renewable,5,0,10,0,4,0,19
accurate,4,3,3,3,4,2,19
weighted,4,2,3,3,2,5,19
samples,3,2,5,5,2,2,19
practice,8,2,3,5,1,0,19
international,6,5,2,5,1,0,19
requires,5,1,2,2,2,7,19
latent,7,1,1,0,0,10,19
fdi,0,1,5,7,6,0,19
events,4,0,6,3,6,0,19
obtained,5,2,6,5,0,1,19
ecosystem,1,4,0,8,3,3,19
perspective,0,4,2,3,5,4,18
conducted,2,2,5,3,5,1,18
deep,4,3,4,1,3,3,18
precision,1,2,8,1,3,3,18
candidates,5,0,0,6,0,7,18
unknown,3,2,4,5,0,4,18
modern,2,5,2,1,2,6,18
choices,2,2,5,0,2,7,18
cooperation,4,7,0,2,2,3,18
households,2,3,0,6,1,6,18
life,5,2,2,5,3,1,18
programs,1,7,1,5,0,4,18
towards,1,2,8,2,4,1,18
highlights,3,1,1,2,8,3,18
spillovers,4,3,0,1,1,9,18
moment,8,0,3,2,0,5,18
technological,2,2,1,4,9,0,18
program,7,1,3,3,1,3,18
addressing,2,1,1,5,8,1,18
introduces,0,3,2,4,6,3,18
points,0,5,2,6,2,3,18
indicators,1,9,2,3,1,2,18
crime,9,7,1,0,0,1,18
guarantees,4,3,2,3,2,4,18
city,4,3,5,1,4,1,18
aims,2,4,3,3,5,1,18
imports,6,5,6,0,1,0,18
foreign,2,0,4,3,7,2,18
subjective,3,3,4,5,2,1,18
intervals,7,1,1,1,3,5,18
fairness,4,3,4,4,1,2,18
contract,0,5,0,0,11,2,18
expectations,0,1,3,8,3,3,18
characterized,3,3,1,3,6,2,18
determine,5,1,2,5,2,3,18
parametric,1,5,5,1,1,5,18
environment,3,3,0,8,4,0,18
others,2,2,4,4,4,2,18
contribution,1,3,2,3,2,7,18
dimensions,1,4,5,3,2,3,18
measurement,9,0,2,3,4,0,18
practices,2,2,3,6,2,3,18
south,2,4,7,3,1,1,18
fully,1,1,2,6,5,3,18
valid,3,5,3,2,3,2,18
integrated,0,6,3,4,3,2,18
political,3,3,1,0,0,11,18
correlations,0,4,1,0,11,1,17
good,2,1,2,4,4,4,17
monitoring,0,8,0,6,2,1,17
clustering,1,1,1,0,1,13,17
consistency,4,1,1,2,6,3,17
consequences,3,2,4,4,2,2,17
enhance,0,0,2,4,11,0,17
according,2,1,6,3,3,2,17
consumers,1,0,7,4,4,1,17
confidence,3,1,5,4,3,1,17
recently,2,2,3,4,3,3,17
differenceindifferences,1,0,2,0,3,11,17
additionally,1,2,4,3,5,2,17
widely,1,5,6,2,2,1,17
wellbeing,5,0,1,10,0,1,17
scientists,0,0,4,6,6,1,17
solve,2,2,1,5,3,4,17
spending,8,1,5,2,1,0,17
experience,1,3,2,3,5,3,17
along,2,0,3,3,4,5,17
third,2,2,3,3,2,5,17
randomized,5,5,0,1,3,3,17
convex,2,1,8,1,1,4,17
statistically,2,4,3,1,3,4,17
coal,0,16,0,0,1,0,17
chinas,0,7,2,3,5,0,17
extensive,5,1,3,1,4,3,17
predict,3,4,1,5,2,2,17
help,1,2,2,9,2,1,17
preference,4,0,5,6,1,1,17
sources,2,2,5,3,2,3,17
superior,3,1,5,1,6,1,17
ate,1,10,0,0,3,3,17
earnings,0,12,1,3,0,1,17
policymakers,1,2,1,8,3,2,17
might,2,4,4,2,3,2,17
trading,4,0,9,1,3,0,17
populations,4,3,3,0,1,6,17
magnitude,7,3,4,0,3,0,17
especially,2,2,1,3,4,5,17
generated,4,2,2,4,4,1,17
treatments,6,2,5,0,0,4,17
procedures,2,4,5,2,2,2,17
evaluated,4,1,2,7,1,2,17
typically,0,2,4,3,3,5,17
resilience,0,0,7,0,9,1,17
suggesting,3,2,2,1,1,7,16
emissions,1,2,1,0,10,2,16
concepts,1,0,3,4,5,3,16
assume,2,7,0,2,2,3,16
distress,0,14,1,0,0,1,16
respect,2,5,4,0,4,1,16
behavioral,2,5,0,6,1,2,16
enables,4,2,0,2,4,4,16
aim,3,2,2,5,1,3,16
gains,1,1,4,4,2,4,16
systematic,3,3,2,4,1,3,16
gaussian,1,1,4,5,5,0,16
equation,3,3,5,2,1,2,16
distributional,0,0,11,0,1,4,16
ensure,5,1,1,2,4,3,16
lasso,1,4,6,3,0,2,16
media,2,0,6,1,6,1,16
upper,3,2,0,3,7,1,16
universities,0,5,8,3,0,0,16
roles,1,1,0,7,4,3,16
means,2,4,2,2,5,1,16
remains,3,0,3,4,4,2,16
voters,3,0,3,2,3,5,16
competitive,1,2,4,1,8,0,16
capture,2,2,2,2,4,4,16
aggregate,1,4,1,0,2,8,16
autonomous,1,8,3,3,1,0,16
questions,2,4,6,1,1,2,16
aspects,3,4,4,3,1,1,16
true,3,2,3,5,1,2,16
constraints,0,2,2,5,0,7,16
primary,0,3,2,5,3,3,16
frequently,1,3,1,4,7,0,16
gini,0,11,2,0,2,1,16
top,0,5,4,2,4,1,16
freight,0,0,0,0,16,0,16
working,2,5,2,4,1,2,16
mobility,2,4,2,0,1,7,16
long,0,6,1,6,2,1,16
define,3,2,4,3,3,1,16
brand,0,0,0,16,0,0,16
instead,4,3,0,4,2,3,16
content,0,2,4,3,5,2,16
drug,6,1,8,0,1,0,16
limit,1,4,1,4,0,6,16
purpose,3,4,2,5,0,2,16
extreme,5,0,2,3,4,2,16
growing,3,2,4,2,4,0,15
competition,3,1,1,3,4,3,15
dimensional,3,1,5,3,1,2,15
industrial,10,0,0,2,0,3,15
aggregation,2,1,1,4,7,0,15
china,5,3,3,0,2,2,15
trust,1,0,13,0,0,1,15
entrepreneurial,0,2,0,13,0,0,15
economies,4,2,3,0,2,4,15
potentially,3,2,1,4,3,2,15
showing,1,0,1,4,4,5,15
llm,0,0,1,7,2,5,15
axioms,1,0,2,7,3,2,15
activities,4,3,1,5,2,0,15
majority,0,2,3,4,5,1,15
feature,1,2,3,0,5,4,15
signal,3,3,2,4,1,2,15
diversity,0,4,2,5,1,3,15
trend,2,2,2,1,5,3,15
difference,4,3,1,2,3,2,15
action,6,2,1,5,1,0,15
act,8,0,0,1,2,4,15
hours,0,7,2,1,3,2,15
predicting,3,5,0,3,2,2,15
