N-Gram,2020,2021,2022,2023,2024,2025,Total
causal parameters,3,3,0,0,0,0,6
labor market,0,0,2,0,4,0,6
optimal robust,0,0,6,0,0,0,6
language processing,0,0,0,0,6,0,6
strategic reasoning,0,0,0,0,6,0,6
optimal robust mechanism,0,0,6,0,0,0,6
two assets,0,0,0,0,6,0,6
income share,0,6,0,0,0,0,6
job performance,0,0,0,6,0,0,6
female appellants,0,0,0,0,6,0,6
emission factor,0,0,0,0,6,0,6
natural language,0,0,0,0,6,0,6
carbon peak,0,0,0,0,6,0,6
show optimal,0,0,0,3,0,2,5
long term,0,2,0,3,0,0,5
paper shows,3,0,2,0,0,0,5
income dynamics,0,0,5,0,0,0,5
functional form,0,5,0,0,0,0,5
paper provides,0,0,0,0,5,0,5
household water consumption,0,0,0,0,0,5,5
nested logit,0,5,0,0,0,0,5
market dynamics,0,3,0,0,2,0,5
market design,0,0,2,3,0,0,5
significant positive effect perceived,0,0,0,5,0,0,5
consumer surplus,0,2,0,0,0,3,5
savings rate,5,0,0,0,0,0,5
climate policy,0,0,0,5,0,0,5
series data,3,0,2,0,0,0,5
results reveal,0,0,0,2,0,3,5
factor model,2,0,3,0,0,0,5
entrepreneurial intentions,0,0,0,5,0,0,5
freight volumes,0,0,0,0,5,0,5
market power,0,5,0,0,0,0,5
social preferences,0,0,0,0,0,5,5
social preference,0,0,0,5,0,0,5
average effect,0,2,0,0,3,0,5
local average,0,0,3,2,0,0,5
local average treatment,0,0,3,2,0,0,5
publicly available,0,0,0,2,0,3,5
theoretical results,0,0,0,2,0,3,5
results demonstrate,0,0,0,0,0,5,5
electricity markets,2,0,3,0,0,0,5
neighbor matching,0,2,0,0,0,3,5
social economic development,0,0,5,0,0,0,5
trust humans,0,0,5,0,0,0,5
matching obtained,0,0,5,0,0,0,5
theoretical model,0,0,2,3,0,0,5
climate change,5,0,0,0,0,0,5
significant positive effect perceived brand,0,0,0,5,0,0,5
circular economy,0,0,0,5,0,0,5
effect perceived brand,0,0,0,5,0,0,5
effect perceived brand quality,0,0,0,5,0,0,5
estimate average,0,3,0,0,0,2,5
affirmative action,2,0,0,3,0,0,5
overtime hours,0,5,0,0,0,0,5
machine learning algorithms,0,3,0,2,0,0,5
information design,0,2,0,3,0,0,5
effect heterogeneity,0,2,3,0,0,0,5
treatment choice,3,0,0,2,0,0,5
agents trust,0,0,5,0,0,0,5
predictive accuracy,0,0,0,0,2,3,5
quality green,0,0,0,5,0,0,5
drug approvals,5,0,0,0,0,0,5
simulation study,0,0,3,0,2,0,5
effect perceived,0,0,0,5,0,0,5
energy efficiency,0,0,0,5,0,0,5
claims problems,0,0,0,0,5,0,5
machine learning methods,0,3,0,0,0,2,5
probability distribution,0,0,2,0,3,0,5
one hand,0,2,0,0,3,0,5
incentive compatible,2,0,3,0,0,0,5
time series data,3,0,2,0,0,0,5
real interest,2,0,0,3,0,0,5
economy society,0,0,5,0,0,0,5
simple method,0,5,0,0,0,0,5
unobserved confounding,3,0,2,0,0,0,5
inequality index,0,5,0,0,0,0,5
prices returns,0,0,0,0,5,0,5
agent models,0,5,0,0,0,0,5
bidding zones,0,0,0,5,0,0,5
network fragility,0,0,0,0,0,5,5
sls estimator,0,0,0,5,0,0,5
optimal contract,0,3,0,0,2,0,5
new technologies,0,0,0,0,3,2,5
findings indicate,0,0,2,3,0,0,5
largescale printing,0,0,5,0,0,0,5
study shows,0,3,2,0,0,0,5
densityratio estimation,0,0,0,0,0,5,5
positioning choice,0,5,0,0,0,0,5
value chain,0,0,0,0,3,2,5
subjective probability,0,0,0,5,0,0,5
food system,5,0,0,0,0,0,5
discounting rate,5,0,0,0,0,0,5
remote sensing,5,0,0,0,0,0,5
life cycle,5,0,0,0,0,0,5
propose new,2,3,0,0,0,0,5
antitrust enforcement,0,0,0,5,0,0,5
heckman model,0,5,0,0,0,0,5
data analysis,3,0,0,0,0,2,5
heterogeneous agent,0,5,0,0,0,0,5
negative control,3,0,0,2,0,0,5
heterogeneous agent models,0,5,0,0,0,0,5
nonmarket goods,0,0,0,5,0,0,5
money supply,0,5,0,0,0,0,5
introduce novel,0,0,0,3,2,0,5
fixed effects,0,0,5,0,0,0,5
relative poverty,0,0,0,0,5,0,5
rail freight,0,0,0,0,5,0,5
startup companies,0,5,0,0,0,0,5
learning methods,0,3,0,0,0,2,5
cultural dimensions,0,2,3,0,0,0,5
random variables,0,0,0,0,2,3,5
firms industry,5,0,0,0,0,0,5
positioning choice problems,0,5,0,0,0,0,5
proposed policy,0,0,0,0,5,0,5
nearest neighbor matching,0,2,0,0,0,3,5
financial markets,5,0,0,0,0,0,5
positive effect perceived brand quality,0,0,0,5,0,0,5
space weather,0,0,0,0,5,0,5
ambiguous information,5,0,0,0,0,0,5
amenity complexity,0,0,5,0,0,0,5
random forests,2,3,0,0,0,0,5
objective study,0,0,3,0,2,0,5
positive effect perceived brand,0,0,0,5,0,0,5
positive effect perceived,0,0,0,5,0,0,5
positive impact,0,0,2,3,0,0,5
linear regression,0,5,0,0,0,0,5
objects interest,0,0,0,0,5,0,5
objective function,0,2,0,0,3,0,5
negative impact,0,3,2,0,0,0,5
positive negative,2,0,0,3,0,0,5
higher vocational,0,0,5,0,0,0,5
nearest neighbor,0,2,0,0,0,3,5
water consumption,0,0,0,0,0,5,5
dangerous capability,0,0,0,0,4,0,4
determining whether,0,0,0,4,0,0,4
majority voting,0,0,2,2,0,0,4
electricity storage,4,0,0,0,0,0,4
pharmaceutical industry,0,0,4,0,0,0,4
predatory pricing,0,0,0,0,0,4,4
emigration crossings,0,0,4,0,0,0,4
coal imports,0,4,0,0,0,0,4
electricity prices,2,0,0,2,0,0,4
marginal emissions factor,0,0,0,0,4,0,4
income share held,0,4,0,0,0,0,4
training data,0,0,0,2,0,2,4
dangerous capabilities,0,0,0,0,4,0,4
perceived brand quality green,0,0,0,4,0,0,4
commercial building,0,0,0,0,4,0,4
emissions factor,0,0,0,0,4,0,4
significant positive effect brand,0,0,0,4,0,0,4
significant positive effect brand loyalty,0,0,0,4,0,0,4
natural disasters,0,0,0,0,0,4,4
necessary sufficient condition,0,0,2,0,2,0,4
inference procedures,0,0,2,0,0,2,4
isoelastic demand,0,4,0,0,0,0,4
simple regret,0,0,0,0,4,0,4
chain monte carlo,0,0,0,2,2,0,4
workfamily policies,0,0,0,4,0,0,4
effects immigration,0,0,0,0,0,4,4
transformation methods,0,0,0,0,4,0,4
desirable properties,0,0,4,0,0,0,4
male appellants,0,0,0,0,4,0,4
justintime delivery,0,0,4,0,0,0,4
triple gamma,0,0,0,4,0,0,4
gdp growth,0,0,0,0,2,2,4
marginal treatment,2,2,0,0,0,0,4
study examines,0,0,0,0,4,0,4
energy consumption,0,0,0,2,2,0,4
energy saving,0,2,0,2,0,0,4
energy transition,0,0,4,0,0,0,4
pretax income,0,0,4,0,0,0,4
industry sectors,0,0,0,4,0,0,4
density ratio,0,2,0,0,0,2,4
study highlights,0,0,0,0,4,0,4
chinas economic,0,0,0,2,2,0,4
kazakhstan russia,0,0,4,0,0,0,4
marginal emissions,0,0,0,0,4,0,4
abnormal returns,4,0,0,0,0,0,4
child mortality,4,0,0,0,0,0,4
manipulation technology,0,4,0,0,0,0,4
data items,4,0,0,0,0,0,4
delivery options,0,0,4,0,0,0,4
share held,0,4,0,0,0,0,4
stereotypical grading,0,0,4,0,0,0,4
empirical bayes,0,2,2,0,0,0,4
characterize optimal,0,2,0,2,0,0,4
industrial life cycle,4,0,0,0,0,0,4
industrial life,4,0,0,0,0,0,4
data annotation,0,0,0,4,0,0,4
decision analysis,4,0,0,0,0,0,4
job burnout,0,0,0,4,0,0,4
sheds light,0,0,0,4,0,0,4
stochastic choice,0,4,0,0,0,0,4
key findings,0,0,0,0,0,4,4
employee wellbeing,0,0,0,4,0,0,4
predictive algorithms,0,0,4,0,0,0,4
performance drivers,0,4,0,0,0,0,4
kernel regression,2,0,2,0,0,0,4
correlations prices,0,0,0,0,4,0,4
information leakage,4,0,0,0,0,0,4
great recession,0,0,0,0,4,0,4
involuntary unemployment,4,0,0,0,0,0,4
ranked choice,0,0,0,0,4,0,4
innovation policy,0,4,0,0,0,0,4
target variable,0,0,0,0,4,0,4
content marketing,0,0,4,0,0,0,4
additive welfarist,0,0,0,0,4,0,4
positive effect brand,0,0,0,4,0,0,4
national savings,4,0,0,0,0,0,4
win percentage,0,4,0,0,0,0,4
contagion dynamics,0,0,0,0,0,4,4
economic distress,0,4,0,0,0,0,4
consumption periods,0,0,0,0,4,0,4
intended timing,0,0,0,4,0,0,4
spatial temporal,0,2,0,0,2,0,4
theoretical framework,0,0,0,0,4,0,4
economic ecosystems,0,0,0,4,0,0,4
ranking selection,2,2,0,0,0,0,4
theoretical guarantees,2,0,0,2,0,0,4
economic impact,0,0,0,4,0,0,4
rapid antigen,4,0,0,0,0,0,4
contextually private,0,4,0,0,0,0,4
positive effect brand loyalty,0,0,0,4,0,0,4
count method,0,0,0,4,0,0,4
social norm,0,0,4,0,0,0,4
socioeconomic mixing,0,0,4,0,0,0,4
corporate environmental,0,0,0,0,0,4,4
drone strikes,0,4,0,0,0,0,4
dynamic oligopoly,0,0,0,0,0,4,4
national accounts,4,0,0,0,0,0,4
partial identification,0,0,0,4,0,0,4
convex hull,2,0,2,0,0,0,4
temporal magnitude,4,0,0,0,0,0,4
insider trading,4,0,0,0,0,0,4
test scores,2,0,2,0,0,0,4
social expectations,0,0,0,4,0,0,4
distributional objectives,0,0,4,0,0,0,4
distributional objective,0,0,4,0,0,0,4
targeted estimation,0,0,0,0,0,4,4
social distancing,4,0,0,0,0,0,4
social choice,2,2,0,0,0,0,4
econometric models,0,0,0,4,0,0,4
chain monte,0,0,0,2,2,0,4
loughranmcdonald dictionary,0,0,0,0,4,0,4
three alternatives,0,0,0,4,0,0,4
rapid antigen tests,4,0,0,0,0,0,4
quantile regression models,2,2,0,0,0,0,4
conditional objects interest,0,0,0,0,4,0,4
political power,0,2,0,0,0,2,4
conditional objects,0,0,0,0,4,0,4
digital platform,0,0,0,0,0,4,4
survey data,2,0,0,0,2,0,4
conditional influence,0,0,0,0,4,0,4
stable set,0,0,4,0,0,0,4
effect perceived brand quality green,0,0,0,4,0,0,4
crossings made,0,0,4,0,0,0,4
effect brand,0,0,0,4,0,0,4
narrative economics,4,0,0,0,0,0,4
information disclosure,0,0,0,0,0,4,4
differing appetites,0,0,0,4,0,0,4
quality life,0,0,0,4,0,0,4
loyalty green,0,0,0,4,0,0,4
randomized experiments,4,0,0,0,0,0,4
policy effect,0,2,2,0,0,0,4
investor sentiments,4,0,0,0,0,0,4
effect brand loyalty,0,0,0,4,0,0,4
less likely,0,0,2,2,0,0,4
paper develops,0,0,0,0,0,4,4
paper analyzes,0,0,2,0,0,2,4
infrastructure systems,0,0,0,0,0,4,4
economic risk,0,4,0,0,0,0,4
population density,0,2,0,0,0,2,4
economic sanctions,0,0,0,0,4,0,4
national savings rate,4,0,0,0,0,0,4
green marketing strategy,0,0,0,4,0,0,4
interest rate,2,0,2,0,0,0,4
direct debiased machine learning,0,0,0,0,0,4,4
consider problem,2,0,0,2,0,0,4
toilet usage,0,0,0,4,0,0,4
direct debiased machine,0,0,0,0,0,4,4
timeseries experiments,0,0,0,0,0,4,4
connected stronglyproportional,0,0,0,4,0,0,4
direct debiased,0,0,0,0,0,4,4
covid relevance,0,0,4,0,0,0,4
small bandwidth,0,0,4,0,0,0,4
intermodal freight,0,0,0,0,4,0,4
confidence intervals,2,0,0,0,2,0,4
continuous functional,0,0,0,0,0,4,4
labor productivity,4,0,0,0,0,0,4
brand quality green,0,0,0,4,0,0,4
sampling schemes,0,0,2,0,2,0,4
nonparametric regression,0,0,0,0,4,0,4
moral uncertainty,0,0,0,4,0,0,4
sales forecasting,0,0,0,0,4,0,4
matching mechanisms,0,0,4,0,0,0,4
near certainty,0,4,0,0,0,0,4
sample performance,0,0,4,0,0,0,4
sample selection,0,4,0,0,0,0,4
gambling industry,4,0,0,0,0,0,4
nonparametric instrumental,0,2,2,0,0,0,4
mental health treatment,0,0,4,0,0,0,4
financial system,0,0,0,0,4,0,4
relationship digitalization,0,4,0,0,0,0,4
high low,0,4,0,0,0,0,4
findings show,0,0,0,2,2,0,4
markov chain monte carlo,0,0,0,2,2,0,4
financial services,4,0,0,0,0,0,4
obamas policy,0,4,0,0,0,0,4
estimated value,0,0,4,0,0,0,4
valuable insights,0,0,0,2,0,2,4
scarcity prices,0,0,4,0,0,0,4
high school,0,0,4,0,0,0,4
expected win percentage,0,4,0,0,0,0,4
variable bias,0,2,0,2,0,0,4
carbon dioxide,0,0,2,0,2,0,4
regional innovation,0,4,0,0,0,0,4
scoring rules,0,0,0,4,0,0,4
antigen tests,4,0,0,0,0,0,4
number children,0,2,2,0,0,0,4
new approach,0,0,2,2,0,0,4
borda count method,0,0,0,4,0,0,4
first step,2,0,0,0,2,0,4
pythagorean model,0,4,0,0,0,0,4
findings highlight,0,0,0,0,4,0,4
finitehorizon dynamic,0,0,0,0,0,4,4
fuzzy core,0,4,0,0,0,0,4
aigenerated metadata,0,0,0,0,4,0,4
variable selection,0,2,0,2,0,0,4
omitted variable bias,0,2,0,2,0,0,4
omitted variable,0,2,0,2,0,0,4
experimental evidence,0,2,0,0,0,2,4
findings demonstrate,0,0,0,0,2,2,4
finitesample performance,0,0,2,0,0,2,4
arrow theorem,0,0,4,0,0,0,4
aigenerated titles,0,0,0,0,4,0,4
framework analyzing,0,0,0,0,0,4,4
novel approach,2,0,0,2,0,0,4
finite set,2,0,0,0,2,0,4
finite sample performance,0,0,4,0,0,0,4
nuclear waste,0,0,0,0,4,0,4
returns two assets,0,0,0,0,4,0,4
vector autoregressions,0,0,0,0,0,4,4
imf programs,0,4,0,0,0,0,4
approvalbased committee,0,0,0,4,0,0,4
approval voting,0,0,0,4,0,0,4
returns two,0,0,0,0,4,0,4
estimation method,0,2,2,0,0,0,4
burnout among,0,0,0,4,0,0,4
burnout among nurses,0,0,0,4,0,0,4
experimental design,0,0,0,4,0,0,4
usd per,0,0,0,2,2,0,4
anonymous contexts,4,0,0,0,0,0,4
vocational education,0,0,4,0,0,0,4
finally show,2,0,0,2,0,0,4
models parameters,2,0,0,0,0,2,4
higher vocational education,0,0,4,0,0,0,4
binary choice,0,0,2,2,0,0,4
two novel,0,2,0,0,2,0,4
quadratic costs,0,4,0,0,0,0,4
results highlight,0,0,0,0,0,4,4
voting rules,0,0,0,4,0,0,4
hypothesis testing,0,0,0,0,2,2,4
risk management,0,0,0,0,2,2,4
neyman orthogonal,0,0,0,0,2,2,4
value functionals,0,0,0,0,0,4,4
one important,2,0,0,2,0,0,4
among nurses,0,0,0,4,0,0,4
product heterogeneity,4,0,0,0,0,0,4
neyman allocation,0,0,0,0,4,0,4
environmental information disclosure,0,0,0,0,0,4,4
environmental information,0,0,0,0,0,4,4
healthrelated quality,0,0,0,4,0,0,4
representation ratio,0,0,0,0,0,4,4
welfare reforms,4,0,0,0,0,0,4
central bank,0,0,0,0,0,4,4
available data,0,2,0,2,0,0,4
public health,0,4,0,0,0,0,4
health treatment,0,0,4,0,0,0,4
exchange rates,0,0,0,0,0,4,4
moment conditions,2,0,0,0,0,2,4
misspecification error,4,0,0,0,0,0,4
asymptotically optimal,0,0,0,4,0,0,4
purchasing power,0,0,2,0,0,2,4
voting method,0,0,0,4,0,0,4
forecasting pipeline,0,0,0,0,4,0,4
twitter data,4,0,0,0,0,0,4
markov chain monte,0,0,0,2,2,0,4
markov chain,0,0,0,2,2,0,4
volatility volatility,0,4,0,0,0,0,4
higher order,0,4,0,0,0,0,4
house prices,0,2,0,2,0,0,4
recovery growth,0,4,0,0,0,0,4
regression discontinuity,2,0,0,0,2,0,4
healthrelated quality life,0,0,0,4,0,0,4
neural network,0,0,0,4,0,0,4
marketing strategy,0,0,0,4,0,0,4
utility function,0,2,2,0,0,0,4
brand loyalty green,0,0,0,4,0,0,4
voting failures,0,0,0,0,4,0,4
expected win,0,4,0,0,0,0,4
neyman targeted,0,0,0,0,0,4,4
selection bias,0,4,0,0,0,0,4
welfare functional,0,0,0,0,0,4,4
optimal policies,2,2,0,0,0,0,4
neyman targeted estimation,0,0,0,0,0,4,4
estimate causal,0,0,0,0,0,4,4
university sustainability,0,0,4,0,0,0,4
asset pricing,0,2,0,0,2,0,4
direct indirect,0,0,0,3,0,0,3
propose strategy,0,0,0,3,0,0,3
discount rate,0,0,0,3,0,0,3
representer estimation,0,0,0,0,0,3,3
distance functions,0,3,0,0,0,0,3
specified functional form,0,3,0,0,0,0,3
guatemalan municipalities,0,0,3,0,0,0,3
specified functional,0,3,0,0,0,0,3
spatial treatment,0,0,0,0,0,3,3
financial services act,3,0,0,0,0,0,3
research design,0,0,0,0,0,3,3
domestic product gdp,0,0,0,3,0,0,3
instability economy,3,0,0,0,0,0,3
global income,0,0,0,0,0,3,3
drug development,0,0,3,0,0,0,3
female miners,0,3,0,0,0,0,3
global income distribution,0,0,0,0,0,3,3
positive significant,0,0,3,0,0,0,3
female pretax,0,0,3,0,0,0,3
female pretax income,0,0,3,0,0,0,3
higherdemand areas,0,3,0,0,0,0,3
positive offers,0,0,0,0,0,3,3
south africa,0,0,0,3,0,0,3
fertility intention,0,3,0,0,0,0,3
dose response,3,0,0,0,0,0,3
instrumental variables household,0,3,0,0,0,0,3
domestic product,0,0,0,3,0,0,3
intelligence systems,0,0,0,0,0,3,3
higher order tests,0,3,0,0,0,0,3
instrumental variables household registration,0,3,0,0,0,0,3
financial analysis,0,0,0,0,3,0,3
proportional sharing,0,0,0,0,0,3,3
financial cycles,3,0,0,0,0,0,3
financial data,0,0,0,3,0,0,3
distributional assumptions,0,0,0,0,0,3,3
research findings,0,0,3,0,0,0,3
positive effect brand loyalty green,0,0,0,3,0,0,3
financial toxicity,0,0,0,3,0,0,3
find evidence,3,0,0,0,0,0,3
intelligence online,0,0,3,0,0,0,3
spatial decay,0,0,0,0,0,3,3
portfolios based,0,0,0,0,3,0,3
popular mathematical puzzles,0,0,0,0,0,3,3
sequential sampling,0,0,3,0,0,0,3
heteroskedasticity robust test,0,0,0,0,3,0,3
justintime delivery network,0,0,3,0,0,0,3
density forecasts,3,0,0,0,0,0,3
health policies,0,3,0,0,0,0,3
regression automatic debiased machine learning,0,0,0,0,0,3,3
justice system,0,0,3,0,0,0,3
regression estimator,3,0,0,0,0,0,3
dependent variable,3,0,0,0,0,0,3
job training,0,0,0,0,0,3,3
play important,0,0,0,0,0,3,3
stochastic learning,0,0,0,0,0,3,3
job burnout among nurses,0,0,0,3,0,0,3
job burnout among,0,0,0,3,0,0,3
health outcomes,3,0,0,0,0,0,3
players quadratic,0,3,0,0,0,0,3
players quadratic costs,0,3,0,0,0,0,3
regularized mixtures,3,0,0,0,0,0,3
stereotypical grading practices,0,0,3,0,0,0,3
protocol implements,3,0,0,0,0,0,3
golf courses,0,0,0,0,3,0,3
regression automatic debiased machine,0,0,0,0,0,3,3
regional carbon tax,0,0,0,3,0,0,3
demand functions,0,0,0,0,0,3,3
labor displacement,3,0,0,0,0,0,3
stronglyproportional allocation,0,0,0,3,0,0,3
pharmaceutical sector,0,0,3,0,0,0,3
registration system,0,3,0,0,0,0,3
streaming services,3,0,0,0,0,0,3
streaming problems,0,0,0,0,3,0,3
deep learning,0,0,3,0,0,0,3
deferred acceptance,0,0,3,0,0,0,3
delivery network,0,0,3,0,0,0,3
raise awareness,0,0,0,0,0,3,3
regression automatic,0,0,0,0,0,3,3
foreign assets,0,0,0,0,3,0,3
kazakhstan russia uzbekistan,0,0,3,0,0,0,3
rail intermodal,0,0,0,0,3,0,3
demand analysis,0,0,0,0,3,0,3
regression automatic debiased,0,0,0,0,0,3,3
governance indicators,0,3,0,0,0,0,3
prosocial behavior,0,0,0,0,0,3,3
hello work,0,0,0,0,3,0,3
sperner lemma,0,0,3,0,0,0,3
differential privacy,0,0,0,3,0,0,3
framework understanding,0,0,0,0,3,0,3
introduce new,0,0,3,0,0,0,3
digital payments,0,0,0,3,0,0,3
repeated consumer search,3,0,0,0,0,0,3
finite number,0,0,0,0,0,3,3
heterogenous trends,3,0,0,0,0,0,3
proposed approach,0,0,0,3,0,0,3
international monetary,0,3,0,0,0,0,3
dimension reduction,3,0,0,0,0,0,3
interest rates,0,0,0,3,0,0,3
popular mathematical,0,0,0,0,0,3,3
spirit higher vocational education,0,0,3,0,0,0,3
heteroskedasticity robust,0,0,0,0,3,0,3
global innovation,0,0,3,0,0,0,3
spirit higher vocational,0,0,3,0,0,0,3
spirit higher,0,0,3,0,0,0,3
spillover effects,0,0,0,0,0,3,3
repeated consumer,3,0,0,0,0,0,3
social preferences moral,0,0,0,0,0,3,3
follow protocol,3,0,0,0,0,0,3
different scales,0,0,0,0,3,0,3
heterogeneous agent models aggregate,0,3,0,0,0,0,3
status quo welfare,0,0,0,0,3,0,3
heterogeneous agent models aggregate shocks,0,3,0,0,0,0,3
