,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
numerical experiments demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,23,25,27,28,48,51,81,81,99,102,154,212,380,1334
constant mean curvature,0,0,0,0,0,5,6,13,14,4,6,9,17,14,22,24,38,41,43,66,63,69,63,45,60,64,46,65,50,58,49,55,46,60,57,65,68,1305
initial value problem,0,0,0,0,0,0,0,0,0,0,0,5,9,5,11,7,17,26,33,35,33,60,44,54,51,77,61,56,69,66,89,98,63,74,65,91,78,1277
reproducing kernel hilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,13,13,18,15,21,32,50,50,42,46,66,77,78,122,129,88,118,124,139,1256
may independent interest,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,11,4,9,12,12,15,13,22,29,35,37,41,58,59,71,92,100,102,125,126,123,151,1254
ordinary differential equation,0,0,0,0,0,0,0,3,3,4,6,0,3,5,5,8,11,15,24,17,20,35,33,48,54,38,61,61,69,66,78,95,89,104,99,87,111,1252
sufficient conditions existence,0,0,0,0,0,0,0,0,0,5,0,3,5,10,9,15,13,21,28,23,36,29,47,43,46,61,80,54,72,92,85,55,57,80,84,99,89,1241
mapping class groups,0,0,0,0,0,0,0,4,6,8,14,7,10,16,32,20,43,33,32,34,27,34,33,51,33,42,35,52,62,49,62,72,97,73,105,62,76,1224
give sufficient conditions,0,0,0,0,0,0,0,0,0,4,3,9,4,11,12,9,16,17,36,33,41,47,39,53,56,64,55,70,56,65,72,76,92,64,77,77,50,1208
nonlinear schrodinger equations,0,0,0,0,0,0,0,0,0,0,0,6,0,12,13,11,13,40,15,38,24,45,26,31,46,45,60,48,50,74,69,78,88,98,74,97,102,1203
multiple zeta values,0,0,0,0,0,0,0,5,0,0,6,6,0,9,21,16,8,25,20,18,23,12,19,25,55,48,76,92,96,88,76,99,61,87,71,80,56,1198
backward stochastic differential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,27,40,23,44,52,57,69,61,55,60,62,65,73,64,82,66,63,98,97,1182
play important role,0,0,0,0,0,0,0,0,0,3,4,7,5,10,4,10,10,16,22,21,28,47,39,43,49,45,62,52,76,67,74,81,74,72,108,68,83,1180
numerical results demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,6,15,14,27,39,52,59,61,83,95,118,97,129,170,187,1166
metric measure spaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,14,27,44,44,85,65,64,73,66,61,76,54,85,78,85,96,113,1156
neumann boundary conditions,0,0,0,0,0,0,0,0,0,4,0,3,7,6,9,9,6,13,9,20,22,22,26,43,32,46,49,51,63,65,75,77,76,81,91,117,127,1149
simulation results demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,12,11,26,21,34,46,52,59,59,67,97,95,92,101,154,205,1148
nonorthogonal multiple access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,68,137,160,129,147,137,103,95,73,58,1142
incompressible navierstokes equations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,8,8,15,14,20,26,35,39,37,39,58,74,75,77,83,86,81,100,106,139,1135
large deviation principle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,13,15,21,32,24,29,32,45,44,50,54,55,52,61,51,100,73,87,76,111,90,1131
central limit theorems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,14,14,23,26,26,32,22,42,56,45,54,79,63,72,91,66,73,58,59,81,101,1116
mean square error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,5,17,13,22,27,37,54,67,79,62,55,65,56,89,71,72,91,99,115,1110
alternating direction method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,20,40,72,58,64,85,74,118,93,86,98,93,80,106,1109
quantum field theories,0,0,0,0,6,3,7,14,8,7,12,7,20,11,10,18,26,30,33,28,31,33,37,47,37,35,53,53,49,55,50,61,64,58,50,66,85,1104
plays important role,0,0,0,0,0,0,0,0,0,3,8,3,0,0,11,5,15,19,16,16,19,30,33,35,42,48,58,55,60,71,64,82,81,96,85,84,57,1096
fixed point theorem,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,7,6,14,15,30,26,40,42,55,41,69,50,52,60,81,72,81,80,83,78,85,1081
del pezzo surfaces,0,0,0,0,0,6,0,4,7,0,3,14,10,8,6,23,23,29,33,23,40,35,20,18,60,25,52,53,57,50,56,68,50,49,90,57,108,1077
direction method multipliers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,18,32,71,51,60,81,74,112,90,86,93,94,81,101,1058
existence uniqueness solutions,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,8,15,8,21,26,27,34,27,36,57,51,47,66,75,62,67,66,64,84,96,107,1053
numerical experiments show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,11,10,16,14,28,30,38,51,64,70,77,101,108,104,95,94,128,1052
massive mimo systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,61,97,94,104,84,91,96,127,108,66,46,47,1042
probability density function,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,7,5,10,9,16,18,26,31,46,45,56,62,42,53,90,70,73,76,68,74,73,64,1028
mean field games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,16,34,30,36,46,70,73,106,108,92,115,138,135,1016
study asymptotic behavior,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,8,17,22,19,25,28,33,45,44,39,46,51,60,49,73,53,63,53,57,58,54,86,999
first part paper,0,0,0,0,0,3,3,0,0,4,5,7,6,10,12,12,11,25,27,20,24,37,39,37,46,45,49,58,37,54,74,71,61,64,56,51,50,998
second part paper,0,0,0,0,0,3,0,0,3,3,8,9,9,9,15,7,7,17,15,20,24,31,40,46,50,51,51,53,52,43,67,75,71,53,50,49,56,987
markov chain monte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,14,13,20,20,24,22,42,36,41,48,39,46,51,60,78,80,65,74,101,93,976
chain monte carlo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,14,13,20,20,24,21,43,36,41,48,39,44,51,60,78,80,66,75,100,94,976
free boundary problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,16,14,18,21,30,34,46,50,63,46,60,69,66,86,49,59,70,67,93,975
reconfigurable intelligent surface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,102,165,174,221,173,114,973
paper propose new,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,16,12,14,22,27,35,40,62,49,59,58,74,94,78,88,88,66,70,967
singular value decomposition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,6,10,12,24,24,13,29,44,34,49,63,57,71,71,70,98,87,104,84,965
positive scalar curvature,0,0,0,0,0,8,0,3,0,10,9,13,14,15,16,17,10,8,10,12,22,15,17,36,44,38,40,38,57,49,77,66,61,53,49,75,80,962
discontinuous galerkin method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,21,30,50,39,62,51,85,74,109,84,75,91,83,82,959
paper introduce new,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,8,7,18,21,19,34,33,28,43,59,57,71,48,63,76,63,58,68,83,80,950
massive multipleinput multipleoutput,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,45,56,64,63,86,95,124,120,96,108,58,943
best knowledge first,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,9,12,18,22,26,31,39,59,90,86,99,95,95,111,129,936
poisson point process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,10,13,19,27,46,33,46,47,63,84,65,63,70,69,42,44,54,56,55,927
signaltonoise ratio snr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,17,21,19,29,34,29,32,38,42,33,53,52,52,78,72,67,78,84,71,922
compact lie group,0,0,0,0,4,6,0,3,7,10,12,10,16,18,21,24,21,30,31,19,44,35,28,31,27,32,49,44,51,49,29,55,36,42,51,38,47,920
vertex operator algebras,0,0,0,0,6,5,25,7,13,13,11,9,12,32,17,19,25,28,20,16,12,25,25,26,37,39,28,42,48,59,39,34,52,43,58,54,35,914
periodic boundary conditions,0,0,0,0,0,0,0,0,0,0,0,14,9,6,8,13,18,4,23,16,21,37,26,34,43,42,31,54,49,39,45,58,58,55,61,55,85,904
mean squared error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,12,16,10,15,14,23,24,37,32,42,58,57,68,74,78,70,74,89,97,904
upper bound number,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,10,7,22,13,19,20,23,31,31,31,41,46,53,42,48,66,58,59,70,56,68,65,902
principal component analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,6,13,12,24,24,20,29,32,32,74,50,67,77,88,69,92,89,87,901
markov decision processes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,8,5,14,22,36,37,25,42,47,77,80,99,109,97,100,87,900
convex optimization problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,7,14,19,29,41,72,51,69,63,89,80,84,69,68,68,66,900
provide sufficient conditions,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,8,4,10,9,16,15,28,31,23,34,37,46,62,59,58,66,62,82,70,83,86,899
nonlinear partial differential,0,0,0,0,0,0,0,0,0,4,0,3,0,8,5,6,6,13,19,16,24,23,26,27,33,28,42,33,51,47,56,63,70,57,74,87,78,899
deep neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,60,90,137,146,121,124,105,93,897
compact riemannian manifold,0,0,0,0,0,0,0,4,0,5,0,6,8,9,7,11,18,14,33,23,35,29,30,34,40,37,49,51,47,56,57,47,41,56,45,51,40,883
several numerical examples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,16,16,16,28,30,33,43,55,57,85,85,87,78,73,78,87,881
formal power series,0,0,0,0,0,5,0,0,0,4,6,9,8,8,14,23,28,19,21,20,19,31,23,27,29,34,41,44,43,55,42,49,45,63,51,57,62,880
vertex operator algebra,0,0,0,0,8,16,29,9,17,18,18,13,15,16,23,12,19,26,24,18,25,37,30,12,29,27,19,50,61,34,41,37,45,39,39,33,29,868
demonstrate effectiveness proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,12,13,25,24,32,35,44,83,86,76,110,149,161,865
independent random variables,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,8,17,17,21,18,16,21,36,24,51,40,58,50,53,55,64,54,41,46,44,48,54,845
monte carlo simulations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,17,8,10,15,9,21,33,29,34,45,32,49,58,49,55,62,68,67,82,85,844
dirichlet boundary condition,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,3,9,4,12,6,15,34,33,48,14,26,58,56,53,61,57,69,57,74,70,71,843
maximum likelihood estimator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,17,16,16,20,15,23,29,25,59,48,61,46,47,49,53,58,45,60,74,70,841
existence weak solutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,13,7,37,25,32,26,62,47,58,64,50,67,56,54,72,76,80,841
compressible navierstokes equations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,17,22,23,33,23,21,44,35,41,59,79,52,74,71,68,65,91,832
markov decision process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,15,14,28,21,25,39,40,90,96,94,78,85,88,87,832
paper propose novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,12,23,24,34,35,42,42,58,89,83,77,78,102,111,830
stochastic optimal control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,13,10,19,18,21,29,25,39,42,34,74,66,93,89,104,120,813
convex optimization problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,11,17,22,29,47,54,42,54,59,50,68,93,55,53,56,68,801
existence uniqueness solution,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,8,11,18,14,16,25,29,34,30,28,61,50,57,52,53,60,57,66,63,57,797
general linear group,0,0,0,0,0,0,0,0,0,4,12,7,5,3,7,13,13,22,14,20,19,20,31,21,33,44,40,23,54,40,35,56,60,49,41,65,46,797
give sufficient condition,0,0,0,0,0,0,0,0,3,4,4,6,5,5,4,9,10,14,14,16,23,20,22,37,41,37,33,46,38,46,45,62,47,48,59,49,43,790
provide necessary sufficient,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,5,4,12,14,17,23,29,32,28,34,45,47,40,43,67,48,58,80,73,76,789
multiple access noma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,38,77,105,89,109,107,77,71,57,40,789
simple lie algebra,0,0,0,0,0,4,3,5,8,8,11,12,7,13,21,17,25,14,21,22,18,30,32,29,44,40,38,42,39,26,35,47,28,32,36,46,33,786
extensive numerical experiments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,13,18,15,12,34,38,54,53,80,68,82,118,179,782
bit error rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,11,9,15,20,12,36,47,41,37,38,42,46,59,57,62,59,58,53,65,782
results demonstrate proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,6,13,27,23,37,32,42,56,62,72,93,124,171,780
optimal power flow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,34,31,48,47,75,90,83,81,67,66,55,78,780
white gaussian noise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,11,12,22,17,33,36,40,49,50,56,52,51,40,50,44,49,36,40,37,35,777
second fundamental form,0,0,0,0,0,0,0,0,6,0,0,6,0,6,6,7,7,12,21,23,25,31,36,35,36,40,32,26,47,50,44,46,41,41,51,48,49,772
numerical results presented,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,8,15,12,21,40,42,40,55,57,56,53,62,71,52,67,66,40,771
gaussian free field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,13,24,22,47,41,41,60,57,63,45,52,55,57,48,55,72,766
locally compact groups,0,0,0,0,0,0,0,0,0,0,0,3,5,10,5,9,13,8,18,18,16,19,15,39,36,51,51,35,59,46,44,39,53,40,55,47,28,762
locally compact group,0,0,0,0,0,0,0,0,0,0,5,5,10,17,12,8,17,14,18,26,22,21,20,35,37,30,46,41,45,48,48,25,52,38,37,54,29,760
ground state energy,0,0,0,0,0,0,0,0,3,0,6,14,8,10,8,11,10,24,13,24,20,34,25,29,43,28,24,42,36,25,36,55,53,63,34,43,39,760
paper present new,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,8,6,15,12,12,24,31,33,38,38,45,55,43,51,46,57,43,37,61,47,42,758
topological data analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,16,22,30,46,63,79,61,108,102,94,104,755
conformal field theories,0,0,0,0,9,7,10,0,7,17,14,19,21,17,13,12,14,18,18,16,21,24,29,27,22,29,25,24,36,16,19,44,45,40,39,52,50,754
total variation distance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,3,8,13,15,21,31,26,51,32,44,48,47,63,57,76,63,74,67,750
physicsinformed neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,41,109,164,194,206,748
simple random walk,0,0,0,0,0,0,0,0,0,0,0,8,6,6,13,15,21,30,18,11,27,23,21,41,49,36,36,39,49,57,51,27,26,31,38,34,35,748
constant scalar curvature,0,0,0,0,0,0,0,0,0,4,0,5,8,0,4,19,10,19,15,31,38,31,26,19,26,34,34,32,49,41,22,38,59,35,26,55,59,739
differential equations driven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,12,17,11,18,31,37,39,36,39,30,44,35,41,54,60,41,34,44,50,49,736
universal enveloping algebra,0,0,0,4,6,13,7,14,14,10,15,20,10,13,18,20,23,18,22,28,14,27,17,33,21,37,27,23,21,35,32,33,28,25,33,38,33,732
compact lie groups,0,0,0,0,0,0,0,0,0,8,6,0,9,9,9,12,16,24,24,21,29,24,28,27,36,24,32,28,31,43,36,39,48,50,44,40,34,731
maximum likelihood estimation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,16,10,15,13,21,23,18,39,19,38,29,35,46,65,58,72,69,51,74,728
elliptic partial differential,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,7,6,8,15,24,22,23,44,25,34,45,46,72,54,55,59,45,65,66,725
additive white gaussian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,13,20,16,27,32,40,44,46,52,48,48,36,46,44,47,31,39,35,32,724
simple lie algebras,0,0,0,0,5,3,4,12,9,7,17,19,11,11,15,15,21,30,30,25,17,19,30,24,35,26,34,32,25,18,35,28,35,49,22,29,27,719
give explicit formula,0,0,0,0,0,0,0,0,4,0,5,6,6,16,11,9,18,18,12,17,17,25,20,26,42,32,32,42,44,33,37,42,48,42,28,43,41,716
moduli space stable,0,0,0,3,0,4,9,10,13,12,8,11,8,12,25,12,19,22,19,25,24,27,20,18,29,32,20,32,42,30,25,43,33,49,17,30,32,715
initialboundary value problem,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,8,13,4,15,30,22,23,34,41,36,57,59,36,49,55,54,40,58,63,713
mixed finite element,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,13,13,11,21,32,27,45,48,64,53,61,46,69,50,75,69,713
reconfigurable intelligent surfaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,93,114,111,130,127,110,712
quantum information theory,0,0,0,0,0,0,0,0,0,0,0,5,9,0,4,7,5,6,8,6,10,15,30,32,26,32,37,45,28,41,43,40,46,44,55,60,70,704
give complete classification,0,0,0,0,0,3,0,0,0,0,0,6,4,8,8,14,11,11,10,20,16,19,16,28,34,31,31,35,33,35,55,40,41,43,55,40,47,694
model order reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,22,31,47,49,56,78,91,81,78,63,80,694
give explicit description,0,0,0,0,0,3,4,0,0,0,0,0,5,4,10,12,9,16,23,17,21,25,26,25,32,28,49,30,34,49,27,34,47,36,37,37,44,684
