,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
protein structure,0,0,0,0,0,0,0,0,0,0,0,0,15,5,11,17,16,13,9,21,18,33,21,44,28,24,34,47,55,31,67,101,95,105,810
network model,0,0,0,0,0,0,0,5,0,7,12,21,10,8,11,18,9,24,23,16,30,34,26,42,56,66,40,33,59,49,50,47,59,54,809
model parameters,0,0,0,0,0,0,0,0,0,0,0,10,7,3,6,6,6,8,20,23,18,31,32,38,42,46,33,48,120,48,75,62,67,48,797
mathematical models,0,0,0,0,0,0,0,0,0,0,0,5,3,3,8,9,9,7,13,23,22,37,36,29,43,30,40,47,89,56,52,76,80,78,795
reproduction number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,17,20,19,30,21,29,23,220,109,79,57,47,94,791
gene regulatory,0,0,0,0,0,0,0,0,0,0,0,11,10,11,22,17,12,29,22,17,33,46,35,48,27,45,50,50,34,33,30,54,63,82,781
covid pandemic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,144,109,68,42,35,780
propose novel,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,11,9,6,19,23,22,32,27,37,37,60,64,102,98,111,106,779
results demonstrate,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,6,5,6,8,8,20,20,25,20,34,32,53,57,44,47,74,117,191,778
brain regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17,18,14,20,25,49,41,38,64,58,61,72,86,105,96,769
proposed method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,7,8,9,16,23,27,36,39,50,57,90,67,104,77,81,57,765
regulatory networks,0,0,0,0,0,0,0,0,0,0,5,18,12,22,30,31,27,37,29,27,34,29,44,42,30,35,38,39,36,27,22,46,40,57,757
growth rate,0,0,0,0,0,6,0,0,0,0,6,4,0,7,17,33,14,9,16,18,29,39,22,43,60,40,59,43,86,58,32,40,27,47,755
magnetic resonance,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,9,13,10,17,12,21,36,36,37,84,66,53,73,100,99,77,753
protein folding,0,0,0,8,15,18,18,21,20,22,14,24,24,16,25,23,18,15,39,32,24,49,20,16,27,28,16,27,23,20,32,39,27,46,746
large language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,107,285,344,743
brain activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,6,18,24,24,39,21,48,47,47,60,59,92,114,115,734
model based,0,0,0,0,0,0,3,7,5,5,0,27,7,12,11,15,21,10,18,19,28,21,28,37,28,27,35,59,76,40,48,48,45,43,723
deep neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,26,42,59,75,102,77,95,82,82,69,719
also show,0,0,0,0,0,0,0,0,4,0,6,9,10,11,16,20,17,19,21,27,27,31,32,43,43,35,37,41,54,40,42,38,43,43,709
information processing,0,0,0,0,0,0,0,4,0,8,4,7,11,3,5,16,14,16,14,21,29,23,28,48,43,36,41,22,37,32,55,50,65,74,706
two different,0,0,0,0,0,3,0,3,0,7,8,6,9,14,14,13,12,12,21,24,21,50,27,37,42,36,52,40,59,46,34,45,38,25,698
public health,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,7,0,18,26,20,23,23,10,31,145,61,46,61,87,124,692
graph neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,57,80,112,129,151,148,691
phase transition,0,0,0,4,0,5,3,6,10,14,23,20,16,12,23,13,18,24,32,28,25,43,30,33,29,23,41,19,42,33,31,18,34,34,686
paper propose,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,9,7,11,18,20,22,24,36,27,41,59,65,50,77,89,64,46,683
chemical reaction,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,10,5,12,9,53,34,26,27,23,23,31,43,31,45,39,62,52,65,69,680
learning methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,14,23,26,52,66,60,98,115,110,92,676
network models,0,0,0,0,0,0,0,0,0,0,0,3,10,3,8,7,9,10,8,14,22,29,14,46,30,49,54,43,56,64,38,49,55,53,674
reinforcement learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,9,25,40,37,80,62,75,85,124,116,665
existing methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,3,11,27,20,13,20,27,36,27,32,33,55,76,133,136,665
phylogenetic trees,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,17,18,19,18,20,34,31,24,43,31,42,34,33,29,32,33,60,47,61,651
generative models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,6,4,20,20,14,47,47,77,93,170,138,644
time scales,0,0,0,0,0,0,0,5,0,6,7,17,6,16,16,17,25,23,28,31,20,41,36,28,34,32,26,35,31,32,31,37,36,27,643
alzheimers disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,6,14,21,32,64,49,53,51,63,74,97,104,642
publicly available,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,5,0,9,9,18,13,16,20,22,32,30,59,55,68,73,87,115,640
differential equation,0,0,0,0,0,0,0,0,3,0,0,4,6,6,5,7,10,14,20,18,14,28,23,31,32,33,36,30,55,47,43,61,54,60,640
results indicate,0,0,0,0,0,0,0,3,0,5,5,9,12,13,0,11,7,5,11,17,17,24,23,18,29,24,27,39,56,55,38,54,67,60,629
complex systems,0,0,0,0,0,0,0,0,5,4,5,9,10,9,15,17,17,12,14,19,19,28,18,24,28,30,28,34,50,41,45,38,48,57,624
commonly used,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,12,11,9,21,31,31,30,27,31,52,44,56,39,49,65,44,63,622
biological processes,0,0,0,0,0,0,0,0,0,0,0,6,5,6,9,9,3,12,10,14,23,18,24,29,30,26,32,36,31,36,45,44,81,90,619
important role,0,0,0,0,0,0,0,3,4,0,0,5,5,4,7,16,7,12,28,20,29,28,29,34,33,31,38,48,51,41,36,50,34,24,617
ordinary differential,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,7,6,14,20,23,18,22,22,28,25,27,20,33,59,34,51,45,65,83,613
evolutionary dynamics,0,0,0,0,0,0,5,3,0,3,3,7,11,4,17,16,16,17,23,22,36,45,34,28,17,33,41,36,38,27,19,34,44,34,613
artificial neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,7,4,8,11,9,24,44,63,58,58,65,83,83,78,607
natural selection,0,0,0,0,0,0,0,0,0,0,6,0,7,16,3,8,29,12,11,21,37,62,36,34,25,27,30,38,21,35,31,35,38,38,600
proposed model,0,0,0,0,0,0,0,4,0,8,4,0,5,5,6,0,8,9,14,6,9,10,20,23,22,18,30,33,91,54,47,74,41,57,598
mutual information,0,0,0,0,0,0,4,9,3,12,11,14,13,6,8,9,13,9,16,9,16,20,18,32,24,35,47,42,22,43,44,39,23,53,594
breast cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,6,12,21,16,27,21,39,43,39,60,40,74,83,88,593
network structure,0,0,0,0,0,0,0,0,0,0,6,0,6,8,11,12,20,17,12,12,24,19,42,29,26,43,46,28,47,46,34,29,33,35,585
dynamics simulations,0,0,0,0,0,0,3,3,6,5,4,11,14,6,5,9,11,17,14,25,30,27,30,39,29,23,33,27,27,21,43,32,34,55,583
systems biology,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,27,8,18,24,31,33,39,44,20,33,34,30,31,29,29,22,40,33,35,581
recent years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,14,13,25,20,27,23,27,29,28,37,34,62,76,87,46,576
cell types,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,7,8,20,23,27,34,29,14,27,50,41,41,50,52,76,68,574
resonance imaging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,7,6,14,9,12,29,24,29,71,51,43,56,73,83,57,574
stochastic model,0,0,0,0,0,0,0,0,0,5,5,5,4,17,13,13,19,23,14,24,20,34,34,27,43,24,37,25,38,28,22,24,34,40,572
different types,0,0,0,0,0,0,0,0,0,0,3,8,6,11,8,8,7,9,13,11,23,29,17,31,26,31,41,32,46,41,45,54,40,32,572
structure prediction,0,0,0,0,0,0,0,0,0,0,0,6,4,0,11,6,4,0,8,10,5,19,20,36,21,26,13,35,26,13,64,59,82,104,572
cancer cells,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,9,10,0,10,16,18,40,46,41,24,34,37,57,45,38,26,43,31,30,571
protein sequences,0,0,0,0,0,0,4,0,0,8,4,0,15,5,6,5,8,5,4,6,10,0,14,12,10,22,30,20,27,39,59,76,104,77,570
recurrent neural,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,5,9,3,8,19,23,38,34,49,52,54,36,72,67,86,568
recent advances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,5,6,7,13,13,12,19,16,31,37,37,35,52,56,83,128,566
protein structures,0,0,0,0,0,0,5,5,0,5,4,19,14,6,17,12,7,15,9,6,6,14,16,24,5,14,17,42,31,28,43,78,64,54,560
case study,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,5,7,13,5,18,15,22,22,22,25,21,33,72,44,45,51,43,75,550
simple model,0,0,3,0,5,13,7,15,4,17,17,23,24,10,17,21,12,21,24,22,23,18,33,26,20,16,26,22,38,13,15,14,15,13,547
complex networks,0,0,0,0,0,0,0,0,0,7,7,12,34,19,18,23,18,8,31,28,25,38,21,16,37,35,21,23,23,23,25,18,17,16,543
spiking neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,4,11,13,13,16,35,40,68,44,33,71,55,57,55,529
infectious disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,9,13,13,15,16,18,25,14,22,28,82,53,42,41,57,68,529
representation learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,31,41,83,108,130,115,529
markov chain,0,0,0,0,0,0,0,0,0,0,0,5,8,5,4,6,7,8,23,19,13,35,37,35,33,16,40,21,43,27,23,42,35,39,524
immune system,0,0,0,0,0,0,0,0,7,0,0,11,10,8,10,22,11,13,19,13,22,41,15,27,23,28,18,32,43,42,28,20,25,31,519
expression data,0,0,0,0,0,0,0,0,0,0,14,6,0,11,11,11,11,10,30,11,38,25,30,25,23,27,19,34,33,30,22,27,36,31,515
sir model,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,6,11,10,12,19,20,4,6,11,204,74,39,28,34,28,514
steady states,0,0,0,0,0,0,0,0,0,0,0,5,6,4,7,10,10,16,11,49,12,26,36,15,27,37,37,34,30,28,30,24,30,30,514
propose new,0,0,0,0,0,0,0,0,0,4,0,3,0,9,3,0,6,7,12,7,16,21,21,23,34,31,25,35,60,28,50,43,42,32,512
binding affinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,7,5,0,0,5,22,21,16,59,27,62,61,101,109,509
infectious diseases,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,4,7,8,11,9,12,24,14,14,19,21,14,26,85,56,35,39,55,41,507
drug design,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,4,3,0,0,0,3,8,6,4,9,12,18,37,37,60,81,136,75,505
biological networks,0,0,0,0,0,0,0,0,0,0,10,3,15,12,18,19,19,17,22,14,23,21,27,41,14,19,23,16,35,33,16,31,26,30,504
results obtained,0,0,0,0,0,0,0,8,5,3,8,6,6,8,15,5,13,11,20,20,16,33,21,20,26,29,32,32,42,28,26,22,26,21,502
across different,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,10,16,14,11,19,20,20,30,42,33,38,54,75,107,501
brain network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,16,33,25,43,32,25,42,68,59,72,58,493
computational models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,7,9,16,20,16,10,36,28,28,44,41,50,51,53,73,491
dna sequences,0,0,0,0,0,6,0,7,8,16,17,15,17,14,4,4,12,10,17,14,14,18,31,26,21,38,15,19,11,10,16,20,49,42,491
paper present,0,0,0,0,0,0,0,0,0,4,4,4,3,6,3,12,11,12,11,14,19,25,16,19,21,20,36,33,43,32,41,33,36,30,488
training data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,6,9,6,25,32,41,45,61,80,82,89,488
binding sites,0,0,0,0,0,0,0,0,0,0,0,8,3,6,8,16,24,8,18,16,22,44,29,50,21,25,22,15,32,13,20,29,26,33,488
first time,0,0,0,0,0,0,0,0,0,0,0,4,8,5,7,7,8,5,16,14,18,29,9,21,32,23,41,34,36,34,19,29,37,51,487
power law,0,0,0,0,4,0,6,7,6,7,11,16,12,17,12,14,17,23,25,13,32,11,21,35,20,12,26,12,44,29,14,15,13,10,484
phylogenetic networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,13,5,12,12,5,0,24,29,39,39,40,19,35,25,50,58,34,484
data set,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,5,22,7,23,23,28,29,36,23,34,22,44,46,43,41,22,9,477
nervous system,0,0,0,0,0,0,5,0,3,0,3,10,0,3,0,12,10,9,8,11,10,22,14,27,18,34,27,35,28,28,41,21,60,32,471
learning model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,18,41,53,41,58,76,82,82,470
dynamical system,0,0,0,0,0,0,0,3,4,0,4,4,0,5,13,17,7,11,11,6,12,20,21,24,23,22,28,22,42,37,38,25,36,33,468
secondary structure,0,0,0,0,0,4,0,7,4,8,17,19,10,18,12,10,12,9,12,17,9,21,37,29,26,24,13,17,21,7,16,17,41,29,466
genetic code,0,0,0,0,0,0,12,0,30,16,12,19,19,12,25,43,58,48,12,10,18,17,7,16,7,19,10,8,9,0,9,5,12,12,465
optimal control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,12,20,18,19,33,26,28,71,64,40,23,33,56,465
basic reproduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,12,16,14,16,25,22,125,50,45,30,33,53,461
pattern formation,0,0,0,0,0,0,0,0,5,0,4,18,11,9,7,9,15,11,15,14,21,16,13,17,13,28,34,22,30,21,39,25,23,40,460
novel approach,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,6,4,8,11,19,17,13,22,23,26,29,26,28,66,86,55,452
immune response,0,0,0,0,0,4,0,0,0,4,0,0,10,11,12,10,5,7,14,13,14,21,15,25,27,22,30,30,38,46,19,19,23,30,449
parameter values,0,0,0,0,0,0,0,0,0,0,0,7,5,12,4,7,14,17,11,14,23,27,29,19,24,20,22,26,43,39,13,27,27,19,449
orders magnitude,0,0,0,0,0,0,0,0,0,0,0,4,11,5,7,5,7,14,9,12,17,23,21,24,24,21,29,28,31,30,30,29,32,36,449
visual cortex,0,0,0,0,0,0,0,0,0,0,3,3,4,8,0,0,9,8,0,11,4,24,16,20,21,26,26,27,16,27,37,48,56,53,447
model also,0,0,0,0,0,3,0,0,3,3,3,6,7,5,9,11,5,10,10,13,10,15,10,22,27,18,29,15,43,30,24,38,24,49,442
parameter space,0,0,0,0,0,0,0,0,0,0,5,4,6,3,8,6,7,14,22,10,22,27,18,23,40,21,19,15,29,33,28,28,21,30,439
generative model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,12,17,16,30,31,30,62,61,87,76,437
previous studies,0,0,0,0,0,0,0,0,0,4,0,0,5,3,4,7,4,10,9,6,10,14,11,23,27,23,34,29,31,27,31,35,45,45,437
across multiple,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,10,10,8,9,8,21,25,19,19,37,42,67,153,436
social distancing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,63,19,10,10,4,429
probability distribution,0,0,0,0,0,0,0,0,4,9,10,4,6,10,19,16,9,14,17,13,19,23,23,27,29,8,22,24,27,12,23,15,19,26,428
fmri data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,4,11,11,28,30,28,37,31,29,42,54,61,50,427
master equation,0,0,0,0,0,0,5,0,3,0,3,4,8,7,15,10,12,12,13,26,36,9,24,25,31,32,21,20,21,24,20,11,18,17,427
information theory,0,0,0,0,0,0,0,0,4,0,3,5,5,3,6,0,13,8,15,11,18,25,31,24,29,26,32,20,19,16,24,21,33,34,425
cell cycle,0,0,0,0,0,0,0,0,0,0,0,0,6,15,14,16,14,14,12,19,14,29,19,38,31,44,15,20,26,11,14,11,21,20,423
learning algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,10,11,28,31,46,35,48,45,56,49,47,422
statistical mechanics,0,0,0,0,0,6,4,10,15,5,6,5,21,4,11,26,14,10,36,22,27,19,15,10,21,22,18,12,13,22,13,8,16,10,421
partial differential,0,0,0,0,0,0,0,0,4,0,0,0,3,6,6,5,4,9,6,13,6,18,23,23,31,21,30,29,32,25,15,38,29,44,420
computational model,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,4,8,13,15,19,24,26,31,33,26,24,43,29,26,28,29,29,419
new method,0,0,0,0,0,3,0,0,0,0,0,9,0,0,4,0,13,11,4,16,14,20,24,16,18,35,29,28,34,27,31,31,34,16,417
paper presents,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,6,6,0,7,14,17,21,17,18,23,26,14,24,24,23,28,48,49,43,416
small number,0,0,0,0,0,0,0,6,8,8,6,4,9,3,3,10,8,11,20,13,28,19,29,21,22,11,16,17,32,20,21,22,23,22,412
parameter estimation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,6,12,21,17,26,21,18,21,47,27,30,26,57,59,411
real data,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,5,13,10,10,14,30,12,25,20,26,23,61,33,34,24,30,26,407
previous work,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,5,4,17,11,14,14,21,26,17,23,23,23,18,21,15,35,33,47,27,407
crucial role,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,7,7,11,5,10,13,17,16,13,21,17,28,20,18,54,72,69,406
computational methods,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,3,6,13,15,8,22,12,25,24,39,31,42,35,61,57,405
decision making,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,11,8,0,19,22,22,27,44,32,49,27,34,35,31,32,405
interaction networks,0,0,0,0,0,0,0,0,0,0,7,6,12,17,22,17,8,13,11,28,13,17,21,21,15,25,19,16,22,17,11,27,21,19,405
network dynamics,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,8,3,10,4,11,22,15,23,28,15,23,43,15,25,26,18,29,30,40,402
present novel,0,0,0,0,0,0,0,0,3,0,0,3,5,3,12,4,6,6,4,5,10,13,8,14,21,21,30,26,36,23,30,25,41,52,401
epidemic model,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,3,7,5,6,6,9,7,16,12,11,15,18,14,82,43,45,25,26,33,396
experimental observations,0,0,0,0,0,0,3,5,0,0,0,13,7,8,10,8,14,13,15,20,14,23,14,21,26,14,23,19,23,20,16,24,21,20,394
two types,0,0,0,0,0,0,4,4,0,0,3,9,4,4,6,10,10,7,7,21,13,17,14,19,27,20,23,19,31,31,16,37,22,16,394
mean field,0,0,0,0,3,5,3,0,6,6,5,5,18,10,8,9,8,15,22,27,17,17,19,18,23,18,21,17,23,18,18,8,12,15,394
spike trains,0,0,0,0,0,0,10,10,4,5,0,5,0,6,0,14,12,18,7,25,21,6,28,23,26,19,24,21,15,22,18,19,25,11,394
natural language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,6,8,21,20,42,81,110,91,393
recent studies,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,6,5,5,4,10,8,20,26,20,21,18,19,23,37,26,40,26,29,38,392
theoretical framework,0,0,0,0,0,0,0,4,0,3,4,5,0,0,7,0,5,6,6,10,6,18,25,22,21,25,26,28,27,23,18,22,30,49,390
results provide,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,9,9,4,6,13,10,15,25,27,26,19,16,26,20,23,18,34,36,41,389
work propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,5,7,12,16,16,22,33,42,62,61,53,44,389
language model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,30,66,155,123,389
large scale,0,0,0,0,0,0,0,0,0,3,0,9,10,6,8,9,11,6,12,7,14,14,21,24,20,26,23,18,45,17,28,16,20,22,389
simulations show,0,0,0,0,0,0,0,3,3,0,4,4,10,5,6,10,5,7,12,11,17,24,25,27,21,21,21,20,22,24,17,28,17,24,388
bayesian inference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,8,15,18,15,22,18,21,25,40,50,36,36,35,36,388
