,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
neural network cnn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,77,172,346,452,572,613,537,441,422,407,400,4459
show proposed method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,11,14,18,39,61,69,113,176,268,451,543,642,661,572,426,381,4452
pretrained language models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,118,358,719,1075,1016,730,402,4425
multimodal large language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,1419,2773,4420
simple yet effective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,13,29,34,47,126,212,281,441,585,715,849,975,4324
language processing nlp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,3,6,10,11,17,40,57,115,161,326,446,510,841,990,744,4289
simulation results show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,11,37,38,79,70,120,156,139,182,228,258,298,318,405,404,411,377,335,326,4211
neural networks dnns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,37,118,246,365,529,571,589,636,603,465,4187
extensive experiments show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,9,21,24,54,99,169,266,404,556,644,741,1116,4119
outperforms stateoftheart methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,23,58,93,146,240,343,429,445,573,689,1003,4066
medical image segmentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,27,69,160,214,352,506,851,912,938,4047
deep learning methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,26,37,102,223,339,515,521,553,553,610,553,4042
machine learning techniques,0,0,0,0,0,0,3,3,0,0,3,3,0,3,5,0,0,0,0,6,5,6,22,39,36,43,77,149,235,336,465,472,428,524,626,493,3982
results demonstrate proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,7,22,9,36,60,62,113,169,224,320,349,374,531,720,937,3951
stochastic gradient descent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,29,40,107,143,206,332,412,476,436,417,412,451,402,3886
neural networks gnns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,90,261,384,562,715,897,905,3831
effectiveness proposed method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,23,42,33,56,90,151,270,374,410,491,625,673,520,3778
automatic speech recognition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,20,4,32,36,82,151,244,361,472,558,562,592,579,3705
internet things iot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,43,101,181,285,351,473,464,387,404,497,474,3697
address issue propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,10,11,19,21,49,122,189,269,306,718,933,1035,3695
deep convolutional neural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,59,161,276,476,535,553,535,427,274,157,134,97,3694
address challenges propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,10,11,31,33,73,84,102,352,895,2075,3675
channel state information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,42,64,80,118,104,120,161,169,188,200,220,197,209,292,273,298,271,291,311,3637
paper propose new,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,4,13,19,20,40,54,61,68,104,123,126,214,258,366,396,384,396,448,325,196,3628
recurrent neural network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,29,84,232,359,453,484,475,428,330,256,268,200,3616
however existing methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,7,14,33,59,98,149,206,277,507,815,1415,3592
deep learning model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,77,178,255,420,407,497,505,615,554,3537
machine learning methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,10,20,24,40,60,104,186,248,398,418,466,481,559,492,3524
paper proposes novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,6,6,7,22,22,25,37,66,100,138,195,267,319,392,522,651,711,3500
code publicly available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,51,118,183,293,406,566,840,998,3477
conduct extensive experiments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,12,22,54,90,143,272,392,451,644,741,586,3418
propose novel approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,6,20,16,30,40,67,105,171,229,271,296,297,551,758,548,3417
generative adversarial network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,160,317,454,502,530,476,363,307,271,3404
paper presents novel,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,7,18,15,32,31,43,65,75,135,133,185,230,291,258,460,662,727,3379
long shortterm memory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,76,128,204,263,325,337,367,316,350,441,547,3371
language model llm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,363,1094,1885,3367
multiagent reinforcement learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,80,168,267,357,429,608,592,798,3325
demonstrate proposed method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,9,12,27,50,74,159,223,273,336,354,486,523,644,3183
neural machine translation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,164,281,414,471,478,399,304,278,215,88,3134
markov decision process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,11,26,30,56,31,39,48,75,113,144,249,314,371,385,342,380,499,3123
extensive experimental results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,10,10,27,41,67,94,176,251,329,388,488,691,525,3117
deep learning based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,51,130,311,440,544,489,406,322,258,153,3110
artificial neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,5,0,4,31,17,18,33,43,37,86,117,194,247,352,366,334,381,390,377,3052
work propose novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,16,25,46,60,118,198,314,335,404,442,470,537,2982
using deep learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,55,128,236,282,388,362,404,379,364,333,2956
machine learning model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,20,32,111,183,319,388,456,484,530,409,2952
deep learning techniques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,89,144,249,337,366,319,465,559,334,2913
extensive experiments conducted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,15,20,53,72,144,220,291,370,485,687,520,2887
time series data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,6,6,14,22,19,51,70,124,174,269,238,276,456,615,523,2887
address issues propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,11,30,76,102,118,188,381,755,1178,2858
future research directions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,9,16,16,29,32,51,97,128,197,274,309,402,613,672,2855
visual question answering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,67,110,123,142,201,210,254,400,559,742,2833
time series forecasting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,5,6,3,6,38,67,123,189,209,355,775,1035,2823
propose novel framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,6,13,29,54,86,127,205,245,288,439,558,727,2790
using machine learning,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,9,13,32,43,71,127,213,350,344,368,410,411,346,2755
finite element method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,10,8,19,32,19,41,69,250,364,358,318,350,415,464,2732
neural network architecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,12,35,76,142,228,328,347,327,280,305,318,309,2716
neural architecture search,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71,310,493,494,369,324,354,278,2699
propose novel method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,10,18,20,37,48,77,131,188,261,288,291,421,510,386,2694
named entity recognition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,14,24,18,42,77,122,235,299,318,397,447,376,313,2691
neural network models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,4,5,33,49,117,230,285,342,342,309,345,335,277,2684
paper present novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,10,15,26,32,29,44,54,90,130,180,236,287,295,271,337,355,223,2626
results demonstrate effectiveness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,12,11,10,23,23,34,42,56,90,136,164,203,219,440,567,575,2614
markov decision processes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,13,21,40,80,79,75,66,66,92,115,190,218,240,265,319,360,340,2600
spiking neural networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,23,52,67,144,203,237,297,417,513,612,2586
source code available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,6,6,10,22,54,108,167,233,326,429,596,585,2556
paper introduces novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,8,11,16,5,15,30,38,46,48,68,87,112,327,936,778,2536
unsupervised domain adaptation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,58,98,194,320,467,418,392,328,228,2530
outperforms existing methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,10,17,37,58,86,125,152,166,303,580,960,2506
magnetic resonance imaging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,19,23,21,33,44,66,122,196,209,228,296,354,413,431,2470
unmanned aerial vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,45,91,147,187,233,248,268,329,417,454,2447
language models mllms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,703,1631,2435
speech recognition asr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,17,43,89,143,230,315,371,384,405,407,2425
visionlanguage models vlms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,139,571,1682,2403
neural network model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,17,23,55,118,178,251,312,321,288,298,340,185,2402
support vector machine,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,10,9,17,17,35,46,58,76,94,147,198,256,264,240,215,207,260,234,2394
numerical results show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,10,23,21,36,68,97,89,128,129,166,210,230,266,262,232,215,178,2381
results show method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,13,12,13,34,52,81,115,130,202,295,307,367,350,394,2377
upper lower bounds,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,15,26,34,51,40,65,81,83,100,110,137,126,127,152,173,163,183,179,233,275,2371
principal component analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,6,15,26,35,32,35,76,87,81,138,144,208,230,237,184,211,245,352,2357
adversarial networks gans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,115,248,288,348,312,274,269,270,199,2345
retrievalaugmented generation rag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,670,1635,2333
simulation results demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,21,22,37,35,52,65,77,84,86,104,173,201,173,229,375,559,2314
neural network architectures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,34,96,184,245,285,250,262,268,347,270,2269
proposed method outperforms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,9,21,26,49,77,128,175,251,282,315,334,308,273,2265
proposed method achieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,19,16,32,56,96,176,219,242,299,344,307,425,2244
compared stateoftheart methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,19,29,48,87,144,180,226,283,320,420,451,2223
deep learning framework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,40,82,127,150,244,237,204,201,283,614,2207
demonstrate superior performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,7,18,24,39,64,110,130,139,189,328,590,547,2202
wireless sensor networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,12,38,28,56,155,126,182,237,227,178,145,114,97,121,92,106,73,37,64,83,2195
demonstrate effectiveness approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,17,11,34,36,55,94,130,166,168,185,329,455,478,2177
plays crucial role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,11,11,20,12,18,26,37,66,81,104,128,372,632,640,2174
experiments show proposed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,15,21,26,47,89,137,206,238,314,348,285,256,157,2160
plays important role,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,31,23,35,32,54,54,64,86,141,197,248,264,247,265,229,148,2136
computer vision tasks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,14,21,48,76,113,158,189,258,299,348,353,240,2125
benchmark datasets demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,9,20,29,59,114,143,188,180,297,385,648,2081
multipleinput multipleoutput mimo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,18,16,34,42,43,40,66,80,105,130,127,114,134,161,204,190,182,198,172,2073
mean squared error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,6,11,11,24,20,36,30,52,77,89,132,165,193,195,222,335,455,2071
method achieves stateoftheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,18,23,60,110,155,208,257,329,404,492,2066
state information csi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,16,29,28,44,47,46,73,76,91,101,114,116,112,184,171,194,173,184,216,2028
deep learning approaches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,67,113,165,239,224,230,253,299,402,2023
reinforcement learning drl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,65,109,199,240,260,299,381,437,2015
natural language understanding,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,13,28,24,84,153,248,274,263,298,320,292,2013
method outperforms stateoftheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,18,32,64,72,155,201,270,266,334,272,312,2010
mean square error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,11,15,19,28,39,51,54,81,62,91,106,123,170,153,162,236,286,303,2006
using large language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,356,775,844,2006
made publicly available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,10,17,20,55,56,108,117,210,226,300,372,494,1998
address challenge propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,8,18,42,68,80,108,288,472,895,1991
significantly outperforms stateoftheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,15,35,47,88,132,145,182,201,227,341,539,1972
publicly available datasets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,17,40,67,88,128,209,211,197,286,348,355,1961
across wide range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,3,6,10,30,27,56,65,76,104,217,455,887,1949
paper introduce novel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,8,16,10,28,44,60,66,98,131,141,154,289,518,361,1944
neural network dnn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,27,60,144,170,280,281,258,285,241,167,1937
deep learning approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,44,96,165,222,269,240,247,218,198,208,1931
achieves stateoftheart results,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,32,44,82,143,166,182,208,280,304,468,1929
address limitations propose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,18,31,45,54,146,401,1214,1926
realworld datasets demonstrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,20,39,35,80,129,160,189,240,431,581,1921
datasets demonstrate effectiveness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,18,49,57,116,150,179,235,309,429,351,1918
reinforcement learning algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,7,0,6,8,18,59,108,201,246,251,245,251,246,254,1910
novel view synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,44,93,172,356,594,623,1905
social media platforms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,15,38,36,61,66,172,201,223,303,398,360,1890
ordinary differential equations,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,6,11,23,18,12,21,8,34,42,52,100,194,216,248,268,294,315,1875
significantly outperforms existing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,10,16,12,38,40,54,96,90,133,180,418,775,1875
models large language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,28,312,702,822,1870
multivariate time series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,15,13,29,47,63,164,178,198,290,407,445,1858
achieves superior performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,18,19,28,52,95,113,154,211,380,774,1856
human pose estimation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,23,47,74,89,155,210,200,234,269,241,278,1849
effectiveness proposed approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,7,10,18,14,26,53,82,83,135,202,173,190,266,281,269,1828
experiments demonstrate effectiveness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,7,12,25,45,86,110,156,185,302,456,418,1820
wide range applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,4,19,16,29,33,38,60,91,111,153,169,189,285,291,308,1814
differential equations pdes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,11,4,13,15,21,83,125,154,222,271,414,470,1813
aerial vehicles uavs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,25,63,99,124,163,171,207,227,309,397,1799
show proposed approach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,15,4,14,27,21,40,54,73,139,189,236,235,211,227,174,128,1795
medical image analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,19,42,93,110,162,183,203,318,325,328,1794
superior performance compared,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,12,15,23,42,53,86,100,108,263,539,540,1790
neural network based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,18,11,22,64,92,184,257,261,238,244,161,130,90,1786
compared existing methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,11,12,10,21,34,48,74,112,118,163,249,427,491,1785
